T	46_TPD_HH	46_rate_HH	46_TPD_full	46_pre_full	46_rate_full	46_TPD_Tait	46_pre_Tait	46_rate_Tait
1.0	0.0	0.0	0.0	163591762.76432124	0.0	0.0	163591762.76432124	0.0
2.0	0.0	0.0	0.0	1850829496.3487406	0.0	0.0	1850829516.7506	0.0
3.0	0.0	0.0	0.0	7650391864.263173	0.0	0.0	7650429609.804089	0.0
4.0	0.0	0.0	0.0	20937582074.478996	0.0	0.0	20939745633.83312	0.0
5.0	0.0	0.0	0.0	45696376429.76039	0.0	0.0	45725287762.50517	0.0
6.0	0.0	0.0	0.0	86374044188.29126	0.0	0.0	86554730497.3252	0.0
7.0	0.0	0.0	0.0	147738978761.70062	0.0	0.0	148458330438.88312	0.0
8.0	6.1872782585658326e-279	2.474911303426333e-280	6.315724040578975e-280	234765654528.28787	2.5262896162315903e-281	6.373308939387231e-280	236906178144.0768	2.5493235757548924e-281
9.0	1.1184067895916113e-246	4.4736271583664455e-248	1.7144292263509322e-247	352558208130.2829	6.857716905403729e-249	1.7397984779985735e-247	357775185165.5705	6.959193911994294e-249
10.0	7.178836943835238e-221	2.8715347775340955e-222	1.580353651583639e-221	506303883579.2437	6.3214146063345566e-223	1.6147468936578144e-221	517322576777.17847	6.458987574631257e-223
11.0	9.389682392107389e-200	3.7558729568429555e-201	2.8629142372229576e-200	701242935940.654	1.145165694889183e-201	2.9483271322908544e-200	722163992019.0582	1.1793308529163419e-201
12.0	3.7234869697275195e-182	1.4893947878910077e-183	1.5261151825890354e-182	942645802659.9382	6.104460730356142e-184	1.5853843551118237e-182	979254990054.9233	6.341537420447295e-184
13.0	2.902432288839414e-167	1.1609729155357656e-168	1.5595410596229945e-167	1235793139843.5374	6.238164238491978e-169	1.6353631163261302e-167	1295875160091.9907	6.541452465304521e-169
14.0	1.690384645529452e-154	6.761538582117808e-156	1.1656439275957662e-154	1585957079425.4272	4.662575710383065e-156	1.2344799273318167e-154	1679614274831.4805	4.937919709327267e-156
15.0	1.9584076849817305e-143	7.833630739926922e-145	1.701652224702421e-143	1998383175334.3723	6.806608898809685e-145	1.82084458951192e-143	2138360083074.8914	7.28337835804768e-145
16.0	9.40794204382332e-134	3.763176817529328e-135	1.0137542517291826e-133	2478272848330.188	4.0550170069167304e-135	1.0963896857173257e-133	2680287441130.639	4.385558742869303e-135
17.0	3.28623312265461e-125	1.314493249061844e-126	4.33051700309906e-125	3030766253833.2954	1.732206801239624e-126	4.734999768840195e-125	3313848554581.243	1.8939999075360778e-126
18.0	1.2919708882059419e-117	5.167883552823768e-119	2.05651824073635e-117	3660925588424.921	8.2260729629454e-119	2.2738240955887196e-117	4047764153133.563	9.095296382354878e-119
19.0	8.071550812945212e-111	3.228620325178085e-112	1.5349590502932275e-110	4373718948503.341	6.1398362011729095e-112	1.7165045426221714e-110	4891015458571.661	6.8660181704886855e-112
20.0	1.0559761507877449e-104	4.2239046031509795e-106	2.3755812291250218e-104	5174004936272.209	9.502324916500088e-106	2.687258611131284e-104	5852836833600.662	1.0749034444525137e-105
21.0	3.617109389203696e-99	1.4468437556814784e-100	9.540916348577415e-99	6066518253069.306	3.816366539430966e-100	1.091891645803787e-98	6942709020428.858	4.367566583215148e-100
22.0	3.894556738372221e-94	1.5578226953488884e-95	1.1948041237300806e-93	7055856522562.944	4.779216494920322e-95	1.3835274709830075e-93	8170352894166.781	5.53410988393203e-95
23.0	1.5329085877561455e-89	6.131634351024582e-91	5.429684302257987e-89	8146468553313.95	2.1718737209031947e-90	6.362298659726295e-89	9545723668813.975	2.544919463890518e-90
24.0	2.50137740978483e-85	1.000550963913932e-86	1.0161035515305758e-84	9342644194006.605	4.0644142061223034e-86	1.204949755757053e-84	11079005503657.625	4.819799023028212e-86
25.0	1.880811670867218e-81	7.523246683468872e-83	8.708090264048589e-81	10648505868110.863	3.4832361056194357e-82	1.0451670507895394e-80	12780606465962.598	4.1806682031581575e-82
26.0	7.126063690654997e-78	2.850425476261999e-79	3.739159600046534e-77	12068001808285.184	1.4956638400186135e-78	4.5426239485308406e-77	14661153812355.996	1.8170495794123362e-78
27.0	1.4681560552061634e-74	5.872624220824654e-76	8.684734404882257e-74	13604900951575.02	3.4738937619529027e-75	1.0680602785327214e-73	16731489556641.545	4.2722411141308855e-75
28.0	1.7557596592160537e-71	7.023038636864215e-73	1.165166299367196e-70	15262789408349.068	4.660665197468784e-72	1.4506697153480085e-70	19002666296177.04	5.802678861392034e-72
29.0	1.2893414769045628e-68	5.157365907618251e-70	9.55554887416647e-68	17045068382380.79	3.822219549666588e-69	1.2045125102645824e-67	21485943272603.34	4.81805004105833e-69
30.0	6.104643622678018e-66	2.441857449071207e-67	5.031204535624095e-65	18954953396216.79	2.0124818142496382e-66	6.42147913700915e-65	24192782645774.156	2.56859165480366e-66
31.0	1.9444075617352233e-63	7.777630246940893e-65	1.7750146238739501e-62	20995474663620.613	7.1000584954958e-64	2.2940537983232804e-62	27134845962316.652	9.176215193293121e-64
32.0	4.3240148199773196e-61	1.7296059279909278e-62	4.3560451052704555e-60	23169478447560.535	1.7424180421081822e-61	5.701149985150003e-60	30323990802441.832	2.280459994060001e-61
33.0	6.936509895100428e-59	2.774603958040171e-60	7.684631575505056e-58	25479629245909.66	3.0738526302020226e-59	1.0185683292230908e-57	33772267590491.887	4.074273316892363e-59
34.0	8.261533929331728e-57	3.3046135717326915e-58	1.0032193035263877e-55	27928412655816.258	4.012877214105551e-57	1.3467508833754614e-55	37491916556314.18	5.387003533501845e-57
35.0	7.494238556294002e-55	2.997695422517601e-56	9.944306317748414e-54	30518138779897.297	3.9777225270993655e-55	1.3521224923685818e-53	41495364835933.62	5.408489969474327e-55
36.0	5.29652502469625e-53	2.1186100098785e-54	7.657446502559662e-52	33250946051586.09	3.062978601023865e-53	1.0546300698349919e-51	45795223701193.02	4.218520279339968e-53
37.0	2.9760184512156905e-51	1.1904073804862762e-52	4.67496277947404e-50	36128805372015.21	1.869985111789616e-51	6.522168616552209e-50	50404285909072.23	2.6088674466208838e-51
38.0	1.3536948190402644e-49	5.414779276161058e-51	2.3045204434519923e-48	39153524465893.34	9.218081773807969e-50	3.256969739409652e-48	55335523162308.02	1.3027878957638607e-49
39.0	5.066402855784987e-48	2.0265611423139947e-49	9.324028746249828e-47	42326752378333.945	3.729611498499931e-48	1.3349844684653648e-46	60602083673736.08	5.3399378738614594e-48
40.0	1.5831437656421113e-46	6.332575062568445e-48	3.1423164695540425e-45	45649984048100.43	1.256926587821617e-46	4.558066880699787e-45	66217289827478.84	1.823226752279915e-46
41.0	4.185152248008977e-45	1.6740608992035907e-46	8.939205368028208e-44	49124564905019.54	3.575682147211283e-45	1.3137270086820527e-43	72194635930725.86	5.254908034728211e-45
42.0	9.472301594568551e-44	3.7889206378274204e-45	2.1726055088121332e-42	52751695450227.79	8.690422035248533e-44	3.235030670040159e-42	78547786050404.12	1.2940122680160638e-43
43.0	1.85547096428475e-42	7.421883857139001e-44	4.560797576410395e-41	56532435787448.28	1.824319030564158e-42	6.880882246244999e-41	85290571929525.92	2.7523528984979996e-42
44.0	3.1767351336114653e-41	1.2706940534445861e-42	8.352057293609913e-40	60467710081660.21	3.340822917443965e-41	1.2767790340633184e-39	92436990978439.45	5.107116136253273e-41
45.0	4.796562626428845e-40	1.918625050571538e-41	1.3463910465173795e-38	64558310928401.58	5.385564186069518e-40	2.0855676708932923e-38	100001204336598.73	8.34227068357317e-40
46.0	6.439573817116116e-39	2.5758295268464463e-40	1.9264842077848713e-37	68804903622636.375	7.705936831139486e-39	3.023847643183473e-37	107997535000820.7	1.2095390572733893e-38
