T	370_TPD_HH	370_rate_HH	370_TPD_full	370_pre_full	370_rate_full	370_TPD_Tait	370_pre_Tait	370_rate_Tait
1.0	0.0	0.0	0.0	107091808.61877497	0.0	0.0	107091808.61877497	0.0
2.0	0.0	0.0	0.0	1211605505.341884	0.0	0.0	1211605505.3418834	0.0
3.0	0.0	0.0	0.0	5008188247.258006	0.0	0.0	5008188247.258343	0.0
4.0	0.0	0.0	0.0	13707751501.489279	0.0	0.0	13707751503.203196	0.0
5.0	0.0	0.0	0.0	29933070153.364452	0.0	0.0	29933070488.12234	0.0
6.0	9.555117243823472e-258	3.822046897529389e-259	2.904678704217126e-259	56661169438.00568	1.1618714816868503e-260	2.9046793449924597e-259	56661181937.52231	1.161871737996984e-260
7.0	2.522363385632911e-219	1.0089453542531644e-220	1.3151727220985404e-220	97184855305.56007	5.2606908883941614e-222	1.3151751473346303e-220	97185034518.6889	5.260700589338521e-222
8.0	1.6520126799861333e-190	6.608050719944533e-192	1.3745394240875283e-191	155084101278.12106	5.498157696350113e-193	1.3745518627344579e-191	155085504683.76108	5.498207450937832e-193
9.0	4.272503329950946e-168	1.7090013319803785e-169	5.368468816685594e-169	234202473938.8322	2.147387526674238e-170	5.368636413616057e-169	234209785449.2608	2.1474545654464228e-170
10.0	3.6386354663565503e-150	1.4554541865426202e-151	6.610506532553242e-151	338625487907.10864	2.6442026130212967e-152	6.611063797208367e-151	338654033982.1795	2.6444255188833464e-152
11.0	1.70348973007255e-135	6.813958920290201e-137	4.319802710069951e-136	472658906965.18665	1.7279210840279803e-137	4.320626425612723e-136	472749035268.31244	1.728250570245089e-137
12.0	2.863801475561558e-123	1.1455205902246232e-124	9.84568610541775e-124	640805942624.6642	3.9382744421671e-125	9.849406674328193e-124	641048095649.0679	3.9397626697312773e-125
13.0	6.339164543472888e-113	2.5356658173891552e-114	2.8831868555397596e-113	847743010923.9751	1.153274742215904e-114	2.885137779202867e-113	848316640724.301	1.154055111681147e-114
14.0	4.673831508745441e-104	1.8695326034981765e-105	2.7540275280384614e-104	1098294170051.8031	1.1016110112153846e-105	2.7571092592154945e-104	1099523151008.2183	1.1028437036861978e-105
15.0	2.2669903762367282e-96	9.067961504946913e-98	1.6996065516584515e-96	1397404615829.7876	6.798426206633806e-98	1.7025578718258766e-96	1399831170623.1467	6.810231487303507e-98
16.0	1.2051689074342506e-89	4.820675629737003e-91	1.1315942576588699e-89	1750113720925.5366	4.52637703063548e-91	1.1344899624089806e-89	1754592192410.009	4.5379598496359225e-91
17.0	1.0375003503245689e-83	4.150001401298275e-85	1.203166382011543e-83	2161528121307.8772	4.812665528046172e-85	1.2075142835322736e-83	2169339269912.2988	4.830057134129095e-85
18.0	1.9593605849218756e-78	7.837442339687502e-80	2.77183473651639e-78	2636795318882.565	1.1087338946065562e-79	2.785485711807349e-78	2649781240182.699	1.1141942847229396e-79
19.0	1.0315899494357765e-73	4.126359797743106e-75	1.7605890456289948e-73	3181078207744.925	7.042356182515979e-75	1.7720562577950913e-73	3201797465777.1846	7.088225031180365e-75
20.0	1.8341068325734156e-69	7.336427330293663e-71	3.738790680074121e-69	3799530858687.7217	1.4955162720296485e-70	3.770182848501118e-69	3831433022479.6597	1.5080731394004473e-70
21.0	1.286056517310859e-65	5.144226069243436e-67	3.1030310782824447e-65	4497275821924.576	1.241212431312978e-66	3.1358868646972508e-65	4544894273086.017	1.2543547458789003e-66
22.0	4.037822103293719e-62	1.6151288413174875e-63	1.1436862730124121e-61	5279383136933.178	4.5747450920496485e-63	1.1586689362680391e-61	5348544778201.952	4.634675745072157e-63
23.0	6.304139068522787e-59	2.5216556274091147e-60	2.0803554771908085e-58	6150851173892.711	8.321421908763235e-60	2.1135182922374715e-58	6248901503317.5625	8.454073168949886e-60
24.0	5.341222654087166e-56	2.1364890616348668e-57	2.039337648233136e-55	7116589374782.328	8.157350592932544e-57	2.078321967934281e-55	7252631288002.855	8.313287871737124e-57
25.0	2.642780392606414e-53	1.0571121570425656e-54	1.1600198043824804e-52	8181402914199.192	4.640079217529922e-54	1.1862709797044804e-52	8366547548341.793	4.745083918817922e-54
26.0	8.125485477341528e-51	3.2501941909366115e-52	4.076021935815938e-50	9349979260108.086	1.6304087743263752e-51	4.183972642218551e-50	9597607187992.727	1.6735890568874204e-51
27.0	1.6367033071620372e-48	6.54681322864815e-50	9.331514675498134e-48	10626876582474.852	3.7326058701992534e-49	9.617804264348924e-48	10952907696753.994	3.84712170573957e-49
28.0	2.2599769020583272e-46	9.039907608233309e-48	1.4569982878757357e-45	12016513932339.742	5.827993151502943e-47	1.5083075675161988e-45	12439684418392.18	6.033230270064796e-47
29.0	2.2244126429950761e-44	8.897650571980305e-46	1.6138760893053228e-43	13523163094578.025	6.455504357221291e-45	1.6785765331514508e-43	14065307971883.564	6.714306132605803e-45
30.0	1.6143734630831738e-42	6.457493852332695e-44	1.312260910890197e-41	15150942003621.889	5.249043643560788e-43	1.3717065151436914e-41	15837281812222.887	5.486826060574765e-43
31.0	8.897570896425816e-41	3.559028358570326e-42	8.069239320653226e-40	16903809602063.838	3.22769572826129e-41	8.479498846000378e-40	17763239918642.918	3.3917995384001516e-41
32.0	3.8213567607465186e-39	1.5285427042986074e-40	3.8513973246289416e-38	18785562016668.45	1.5405589298515767e-39	4.0698210069050115e-38	19850944599521.418	1.6279284027620047e-39
33.0	1.3082284067083041e-37	5.232913626833217e-39	1.4598892330142456e-36	20799829924273.34	5.839556932056983e-38	1.5517264554574173e-36	22108284404474.98	6.206905821829669e-38
34.0	3.642100381759194e-36	1.4568401527036775e-37	4.484485299062211e-35	22950076980810.004	1.7937941196248843e-36	4.795798426870892e-35	24543272135188.156	1.918319370748357e-36
35.0	8.392900756043443e-35	3.3571603024173777e-36	1.136504313173394e-33	25239599189702.848	4.546017252693576e-35	1.2231593592650345e-33	27164042947431.504	4.892637437060138e-35
36.0	1.626292569308905e-33	6.50517027723562e-35	2.4143949820749835e-32	27671525090753.69	9.657579928299934e-34	2.61571383931797e-32	29978852537505.383	1.046285535727188e-33
37.0	2.6872433717694537e-32	1.0748973487077816e-33	4.361058742286883e-31	30248816656862.293	1.7444234969147533e-32	4.757138923725042e-31	32996075407029.227	1.902855569490017e-32
38.0	3.8343390085487566e-31	1.5337356034195027e-32	6.783319210386699e-30	32974270793207.062	2.7133276841546796e-31	7.451880740366267e-30	36224203200591.195	2.9807522961465067e-31
39.0	4.777967342119875e-30	1.91118693684795e-31	9.189993393608296e-29	35850521341473.94	3.6759973574433185e-30	1.0169558557669174e-28	39671843111297.37	4.0678234230676695e-30
40.0	5.252541950028831e-29	2.1010167800115325e-30	1.0956524042344478e-27	38880041500098.31	4.3826096169377915e-29	1.2215529563290818e-27	43347716349718.98	4.8862118253163273e-29
41.0	5.140962022993971e-28	2.0563848091975884e-29	1.1602280179534651e-26	42065146580027.69	4.640912071813861e-28	1.30352898957769e-26	47260656672144.06	5.21411595831076e-28
42.0	4.517146002593257e-27	1.8068584010373028e-28	1.1004568545922935e-25	45407997024018.664	4.401827418369174e-27	1.2461474818058805e-25	51419608964400.414	4.984589927223522e-27
43.0	3.589968702278341e-26	1.4359874809113363e-27	9.420418873598287e-25	48910601625785.38	3.7681675494393153e-26	1.0753827275854973e-24	55833627877837.875	4.301530910341989e-26
44.0	2.5983016031866864e-25	1.0393206412746746e-26	7.32898629784419e-24	52574820893294.63	2.9315945191376763e-25	8.43542034561699e-24	60511876514343.99	3.374168138246796e-25
45.0	1.723308293395783e-24	6.893233173583132e-26	5.2147906933245106e-23	56402370508043.1	2.0859162773298043e-24	6.052566588031201e-23	65463625157523.54	2.4210266352124803e-24
