T	q_vib_des_atomonly_all	q_vib_des_atomonly_frg	q_vib_des_optfull_all	q_vib_des_optfull_frg
0.1	1.0	1.0	1.0	1.0
5.1	0.9998834118019386	0.9999993544629908	0.9998985288745876	0.9999960943760912
10.1	0.9949095988144396	0.9999227169246248	0.9954344612208363	0.9989940879907365
15.1	0.9851688545752332	0.9999719797531691	0.9858153928119008	0.9935416389882218
20.1	0.9781365720110128	1.0011910910804476	0.9756716796708227	0.9828706624398403
25.1	0.9758225776020565	1.0043518958437112	0.9658749619680844	0.9683044118730547
30.1	0.9773219872312005	1.0095487311367883	0.955942587640081	0.9515511217132749
35.1	0.9812931086497152	1.0164687567900852	0.9453998486673786	0.9339930834976782
40.1	0.9866652851365085	1.0246580422324159	0.9339929040624707	0.916493036782645
45.1	0.9926954474017939	1.0336623388590918	0.9216228054043731	0.8994813530646624
50.1	0.9988804769930342	1.0430776941490958	0.9082684028366852	0.8831072908163473
55.1	1.0048714728191421	1.0525577360450271	0.8939444846269821	0.8673620728539723
60.1	1.0104167372692698	1.0618075186177678	0.8786861537269979	0.8521595350092792
65.1	1.0153291150501638	1.0705768565747544	0.8625452685422366	0.8373842106798761
70.1	1.0194686247679496	1.0786563151178783	0.8455901371606573	0.8229184470558577
75.1	1.0227332506188258	1.0858752067922	0.8279046365641327	0.8086567574902814
80.1	1.0250534756436536	1.0921002208701787	0.8095857952923325	0.794512494521883
85.1	1.0263882080013742	1.0972336990951188	0.7907401385825977	0.7804199193947452
90.1	1.0267210475680635	1.1012111337838473	0.7714794594181996	0.7663335682382598
95.1	1.0260565509034076	1.1039978790853235	0.751916633869396	0.7522261250750717
100.1	1.024416489878325	1.1055852881500516	0.7321619137304736	0.7380855856827513
105.1	1.0218362234406069	1.105986563833325	0.7123199322594534	0.7239122165548476
110.1	1.0183613177231463	1.1052325970578898	0.6924875003864642	0.7097156213937251
115.1	1.0140445188898255	1.1033680113237658	0.6727521628144536	0.6955120940432769
120.1	1.0089431392468184	1.1004475638869111	0.6531914207709447	0.6813223448047453
125.1	1.0031168763224776	1.0965329903182355	0.6338724999234262	0.6671696257559849
130.1	0.9966260530746391	1.0916903269467664	0.6148525370027739	0.6530782419831246
135.1	0.9895302462197979	1.0859877070943202	0.5961790677211388	0.6390724132759255
140.1	0.9818872576411706	1.0794936011374257	0.5778907147717582	0.6251754399167361
145.1	0.9737523788551219	1.0722754551212568	0.5600179934361046	0.6114091229128962
150.1	0.9651778984953585	1.0643986754035817	0.5425841707537554	0.5977933905430776
155.1	0.956212805913043	1.055925905289103	0.5256061307786751	0.5843460873590914
160.1	0.9469026488977061	1.0469165418682558	0.5090952124675343	0.5710828873857137
165.1	0.9372895092000133	1.0374264457763724	0.4930579980798819	0.5580172992561637
170.1	0.9274120653154866	1.0275078022224227	0.47749703878319455	0.5451607368301183
175.1	0.917305717455627	1.0172090976288566	0.46241151076655945	0.532522634137974
180.1	0.9070027545626808	1.0065751820740714	0.4477977999452241	0.520110588124826
185.1	0.8965325475163852	0.9956473931375522	0.43365001664961933	0.5079305165869408
190.1	0.8859217563188175	0.9844637215603738	0.4199604438654955	0.4959868219268527
195.1	0.8751945420587304	0.97305900329326	0.4067199239071258	0.48428255396201814
200.1	0.864372776909601	0.9614651260168209	0.39391818909283066	0.4728195670853168
205.1	0.8534762473766652	0.9497112411271194	0.3815441422335238	0.4615986686765426
210.1	0.8425228475511751	0.937823974546704	0.3695860926817394	0.4506197568821318
215.1	0.8315287603240099	0.9258276316173897	0.3580319534264461	0.4398819467881081
220.1	0.8205086254194074	0.9137443928269156	0.34686940433705615	0.4293836846717588
225.1	0.8094756937870683	0.9015944982832043	0.3360860262138602	0.41912285048398
230.1	0.7984419683850977	0.889396419737581	0.32566940983209725	0.40909684903135074
235.1	0.7874183317357052	0.8771670196236637	0.31560724369893245	0.3993026905302321
240.1	0.7764146608732141	0.8649216970667191	0.30588738379472946	0.389737061323893
245.1	0.7654399304552205	0.8526745211662706	0.2964979081520292	0.38039638561015826
250.1	0.7545023048947722	0.8404383520935435	0.2874271587437358	0.3712768790393459
255.1	0.7436092204096746	0.828224950700273	0.2786637728077444	0.36237459502379615
260.1	0.7327674578887112	0.816045077426463	0.27019670542913454	0.3536854645613699
265.1	0.7219832074533644	0.8039085813384746	0.2620152449311574	0.34520533032375933
270.1	0.7112621255552428	0.7918244801376396	0.2541090223902838	0.3369299757018303
275.1	0.7006093854004941	0.7798010319638236	0.24646801638582808	0.3288551494386557
280.1	0.6900297214368308	0.767845799785471	0.2390825539177644	0.320976586419287
285.1	0.6795274685803019	0.7559657091236331	0.231943308274556	0.3132900251265646
290.1	0.6691065967995752	0.7441670998067963	0.22504129450292737	0.3057912222156737
295.1	0.6587707416174422	0.7324557723992416	0.21836786302098887	0.2984759646074581
