T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
136.0	7.731319725623729e-15	3.0925278902495326e-16	8.648417238505115e-12	3104447465583249.5	3.4593668954495193e-13	8.751746938089277e-12	3141538833304084.0	3.5006987752841464e-13
137.0	1.208754266744744e-14	4.835017066979078e-16	1.3851426014099564e-11	3180224518016681.0	5.540570405763776e-13	1.4038313715994456e-11	3223133085776173.0	5.615325486524619e-13
138.0	1.8777581208112238e-14	7.511032483245144e-16	2.2038311299486715e-11	3257166649981679.5	8.815324520114003e-13	2.237027842975103e-11	3306229949384370.0	8.948111372228145e-13
139.0	2.8988006813321826e-14	1.159520272532933e-15	3.483768336495202e-11	3335279451613791.5	1.3935073346792681e-12	3.541808646795718e-11	3390845905987744.5	1.4167234588018686e-12
140.0	4.447667051107343e-14	1.779066820443081e-15	5.47226061946834e-11	3414568415658355.0	2.1889042479911205e-12	5.572310805379998e-11	3476997497271232.5	2.228924322362442e-12
141.0	6.783250872372221e-14	2.7133003489492287e-15	8.54257072138593e-11	3495038937686912.0	3.4170282890594817e-12	8.712839458520806e-11	3564701324530009.0	3.485135783931572e-12
142.0	1.0284663557870088e-13	4.11386542314883e-15	1.3254728658511897e-10	3576696316310807.0	5.30189146464141e-12	1.3541108960375094e-10	3653974048456227.5	5.4164435854351746e-12
143.0	1.5503946876096215e-13	6.201578750440322e-15	2.0444106648038946e-10	3659545753391891.5	8.177642662206915e-12	2.0920561702716153e-10	3744832388928018.0	8.368224684205106e-12
144.0	2.3240545805336114e-13	9.296218322138638e-15	3.134971230748173e-10	3743592354249948.5	1.2539884930143378e-11	3.2134384333809366e-10	3837293124800689.0	1.2853753741003122e-11
145.0	3.464596921530427e-13	1.3858387686131177e-14	4.779899287942471e-10	3828841127866700.0	1.9119597168666493e-11	4.907899498383558e-10	3931373093700170.5	1.963159801126601e-11
146.0	5.137011541193871e-13	2.0548046164796643e-14	7.247261567561607e-10	3915296987086086.5	2.8989046309721463e-11	7.454190275815524e-10	4027089191818568.0	2.9816761144827155e-11
147.0	7.576481485042512e-13	3.0305925940216827e-14	1.0928184436466495e-09	4002964748810893.5	4.3712737837070365e-11	1.1259864783833772e-09	4124458373711878.0	4.5039459231694115e-11
148.0	1.1116556218888742e-12	4.446622487565729e-14	1.639036274536792e-09	4091849134195574.0	6.556145118990904e-11	1.6917695715526292e-09	4223497652099741.0	6.767078308307883e-11
149.0	1.6227958395644166e-12	6.49118335827982e-14	2.4453549094228093e-09	4181954768835117.5	9.781419684821083e-11	2.528545431435146e-09	4324224097667280.5	1.0114181775878523e-10
150.0	2.3571784039579176e-12	9.42871361587915e-14	3.629552762037468e-09	4273286182950040.5	1.4518211153605196e-10	3.7598177621568866e-09	4426654838868932.0	1.5039271161207576e-10
151.0	3.4072095769585376e-12	1.3628838307934907e-13	5.360016427877756e-09	4365847811567553.5	2.144006594506219e-10	5.562539355938703e-09	4530807061734247.0	2.225015767397018e-10
152.0	4.901452757236904e-12	1.9605811029159358e-13	7.876326126798872e-09	4459643994698909.0	3.150530501925838e-10	8.189027128360873e-09	4636698009675673.0	3.2756109064011263e-10
153.0	7.017962443355491e-12	2.8071849773862733e-13	1.1517745735063444e-08	4554678977512988.0	4.607098405192606e-10	1.1997367853899227e-08	4744344983298196.0	4.798947261519559e-10
154.0	1.0002236508217419e-11	4.0008946033778654e-13	1.6762473528152833e-08	4650956910506169.0	6.704989650275907e-10	1.7493413609950565e-08	4853765340210911.0	6.997365702844197e-10
155.0	1.419128292748183e-11	5.676513171178477e-13	2.4281477145774576e-08	4748481849668794.0	9.712591367344538e-10	2.5388527713684208e-08	4964976494840423.0	1.0155411638820767e-09
156.0	2.0045748202652173e-11	8.018299281437031e-13	3.501200944041498e-08	4847257756648268.0	1.4004804850211985e-09	3.6678643758499226e-08	5077995918246063.0	1.467145867530344e-09
157.0	2.819263163159267e-11	1.1277052653392164e-12	5.025757046243768e-08	4947288498908782.0	2.0103030430549094e-09	5.275204350452751e-08	5192841137936912.0	2.110081986121863e-09
158.0	3.948184451710586e-11	1.5792737808345045e-12	7.18232587916925e-08	5048577849888150.0	2.872930816969959e-09	7.553567300527887e-08	5309529737690555.0	3.0214274317603254e-09
159.0	5.5060806075218016e-11	2.202432243305241e-12	1.0219828689695856e-07	5151129489151848.0	4.0879324315719e-09	1.0769296452319606e-07	5428079357373638.0	4.307719635641941e-09
160.0	7.647244697588781e-11	3.058897879615767e-12	1.4480110188129347e-07	5254947002544183.0	5.7920460212771215e-09	1.5289022211272486e-07	5548507692764029.0	6.115611040480553e-09
161.0	1.0578347679728173e-10	4.23133907301751e-12	2.043072829957778e-07	5360033882337478.0	8.172295248935641e-09	2.1615392296705092e-07	5670832495374765.0	8.64616128867656e-09
162.0	1.4575163597131483e-10	5.830065441021086e-12	2.870864660781917e-07	5466393527378573.0	1.1483466510344472e-08	3.0434811348959376e-07	5795071572279566.0	1.2173933324049349e-08
