T	309_TPD_HH	309_rate_HH	309_TPD_full	309_pre_full	309_rate_full	309_TPD_Tait	309_pre_Tait	309_rate_Tait
1.0	0.0	0.0	0.0	13437439399.914867	0.0	0.0	13437439399.91487	0.0
2.0	0.0	0.0	0.0	152027272343.40955	0.0	0.0	152027272343.40955	0.0
3.0	0.0	0.0	0.0	628406849635.5707	0.0	0.0	628406849635.5707	0.0
4.0	1.7445108437519508e-254	6.978043375007803e-256	2.6461655569265984e-254	1719992243189.103	1.0584662227706394e-255	2.6461655569265988e-254	1719992243189.1033	1.0584662227706396e-255
5.0	2.1697305719558936e-201	8.678922287823574e-203	7.186777389486476e-201	3755878492717.865	2.8747109557945905e-202	7.186777389486648e-201	3755878492717.955	2.8747109557946594e-202
6.0	5.406222284646407e-166	2.1624889138585628e-167	3.3896639457296563e-165	7109611915510.241	1.3558655782918625e-166	3.3896639457448923e-165	7109611915542.198	1.3558655782979569e-166
7.0	1.0377665754549441e-140	4.1510663018197765e-142	1.1160308197101152e-139	12194378155689.584	4.4641232788404607e-141	1.116030819923284e-139	12194378158018.787	4.464123279693136e-141
8.0	9.517086975487795e-122	3.806834790195118e-123	1.6332488484620536e-120	19459490797661.37	6.532995393848214e-122	1.6332488536905212e-120	19459490859956.42	6.532995414762085e-122
9.0	5.333851691099802e-107	2.133540676439921e-108	1.3823661021264482e-105	29387679119394.152	5.529464408505793e-107	1.3823661420258266e-105	29387679967613.832	5.529464568103306e-107
10.0	3.3563809206555746e-95	1.34255236826223e-96	1.2577795801111706e-93	42492907259330.88	5.0311183204446826e-95	1.2577797921900392e-93	42492914424217.195	5.031119168760157e-95
11.0	1.5116883603040592e-85	6.0467534412162365e-87	7.908055789236175e-84	59318560696581.16	3.1632223156944703e-85	7.908061469720889e-84	59318603306065.23	3.1632245878883556e-85
12.0	1.6754371217160129e-77	6.701748486864051e-79	1.1884880395463609e-75	80435882549650.34	4.753952158185443e-77	1.188490909021657e-75	80436076753353.05	4.7539636360866285e-77
13.0	1.0744035179584732e-70	4.297614071833893e-72	1.008555002089629e-68	106442561071822.11	4.034220008358517e-70	1.0085618211939118e-68	106443280757830.84	4.034247284775647e-70
14.0	7.3417438981258995e-65	2.9366975592503597e-66	8.932511876498239e-63	137961377103047.1	3.573004750599296e-64	8.932658378536064e-63	137963639806211.25	3.573063351414426e-64
15.0	8.366132329225791e-60	3.3464529316903164e-61	1.2958720005465026e-57	175638826214961.8	5.18348800218601e-59	1.2959179506640974e-57	175645054163953.22	5.18367180265639e-59
16.0	2.2244763516005612e-55	8.897905406402245e-57	4.318677626612472e-53	220143639969181.47	1.727471050644989e-54	4.318979092536583e-53	220159007128205.22	1.7275916370146334e-54
17.0	1.7843289828210182e-51	7.137315931284073e-53	4.28276541496144e-49	272165145192671.8	1.7131061659845762e-50	4.283310165203534e-49	272199763485846.44	1.7133240660814138e-50
18.0	5.272881909926412e-48	2.109152763970565e-49	1.5457556007216003e-45	332411418080730.1	6.183022402886402e-47	1.546091463341993e-45	332483644615036.7	6.184365853367972e-47
19.0	6.721502903256289e-45	2.6886011613025155e-46	2.3805907461940012e-42	401607208972912.5	9.522362984776004e-44	2.3814274931680772e-42	401748368732275.8	9.52570997267231e-44
20.0	4.193257744589375e-42	1.67730309783575e-43	1.7768641972278576e-39	480491631666741.44	7.10745678891143e-41	1.7778286959159897e-39	480752447067898.25	7.111314783663959e-41
21.0	1.4180382064456659e-39	5.672152825782664e-41	7.12589039450374e-37	569815626648049.0	2.850356157801496e-38	7.131630491145033e-37	570274628482711.1	2.852652196458013e-38
22.0	2.826140729428202e-37	1.1304562917712808e-38	1.6707261271023244e-34	670339219873483.4	6.682904508409298e-36	1.6726556281027302e-34	671113386371735.4	6.690622512410921e-36
23.0	3.556917177059207e-35	1.4227668708236829e-36	2.4555981155128112e-32	782828607593294.9	9.822392462051244e-34	2.459543727099555e-32	784086442743534.6	9.83817490839822e-34
24.0	2.994561384653792e-33	1.197824553861517e-34	2.3980670267991604e-30	908053103406242.9	9.592268107196642e-32	2.4032886491305807e-30	910030325189401.4	9.613154596522323e-32
25.0	1.7700163790909322e-31	7.080065516363729e-33	1.6339936949056475e-28	1046781986762638.4	6.53597477962259e-30	1.6387046452840728e-28	1049799953118349.0	6.554818581136292e-30
26.0	7.652076264455735e-30	3.0608305057822942e-31	8.09651689599356e-27	1199781293018084.5	3.238606758397424e-28	8.126796351591839e-27	1204268250169691.8	3.250718540636736e-28
27.0	2.505409110590935e-28	1.002163644236374e-29	3.022187903947773e-25	1367810584414497.8	1.2088751615791091e-26	3.036583278553798e-25	1374325780152993.2	1.2146333114215193e-26
28.0	6.4010422418649095e-27	2.560416896745964e-28	8.758965985355628e-24	1551619739486771.8	3.503586394142251e-25	8.811242870852752e-24	1560880404226404.8	3.524497148341101e-25
29.0	1.3094211364500093e-25	5.237684545800038e-27	2.023097729821469e-22	1751945795739917.0	8.092390919285876e-24	2.0380071760811352e-22	1764856957324650.5	8.152028704324541e-24
30.0	2.1930847622827277e-24	8.772339049130911e-26	3.809170665659202e-21	1969509877306236.2	1.5236682662636808e-22	3.8433786933253095e-21	1987196942099355.5	1.5373514773301238e-22
31.0	3.066317916603119e-23	1.2265271666412478e-24	5.962733906204595e-20	2205014235893745.8	2.385093562481838e-21	6.027212149723731e-20	2228858238846347.5	2.4108848598894926e-21
32.0	3.6403734539786128e-22	1.4561493815914452e-23	7.894887443791633e-19	2459139429833756.5	3.157954977516653e-20	7.996579001660724e-19	2490814830074422.0	3.19863160066429e-20
33.0	3.724998242993827e-21	1.4899992971975309e-22	8.976555391224409e-18	2732541662536678.0	3.5906221564897635e-19	9.112934129365661e-18	2774056538523459.0	3.6451736517462645e-19
34.0	3.328717127863011e-20	1.3314868511452045e-21	8.882621958774662e-17	3025850298245573.0	3.553048783509865e-18	9.040375498917768e-17	3079588777571463.0	3.616150199567107e-18
35.0	2.6282212132159017e-19	1.0512884852863608e-20	7.740726912826056e-16	3339665569685317.0	3.0962907651304226e-17	7.900115501360842e-16	3408432313083584.0	3.160046200544337e-17
36.0	1.8525928378232884e-18	7.410371351293154e-20	6.003461909853186e-15	3674556489073227.5	2.4013847639412767e-16	6.14571055911972e-15	3761623035854570.5	2.4582842236478902e-16
37.0	1.1766344794718565e-17	4.706537917887426e-19	4.182900873052097e-14	4031058971004196.0	1.6731603492208505e-15	4.296165211839817e-14	4140211743881635.0	1.7184660847359389e-15
38.0	6.789427181382179e-17	2.7157708725528718e-18	2.6403195191860363e-13	4409674172961935.0	1.0561278076744661e-14	2.7215047220030057e-13	4545263933779612.0	1.0886018888012566e-14
39.0	3.5856798448671784e-16	1.4342719379468715e-17	1.5212889698933331e-12	4810867056645295.0	6.085155879575235e-14	1.5740952337866392e-12	4977859600715806.0	6.296380935148584e-14
40.0	1.744818235507258e-15	6.979272942029035e-17	8.055437541355763e-12	5235065170938963.0	3.222175016548215e-13	8.369384694446742e-12	5439093046299801.0	3.347753877785045e-13
41.0	7.870074387644205e-15	3.148029755057689e-16	3.9440933117904325e-11	5682657655202901.0	1.5776373247317752e-12	4.115813668464862e-11	5930072693914531.0	1.646325467402845e-12
42.0	3.308393308980289e-14	1.3233573235921292e-15	1.7955234657921005e-10	6153994459606187.0	7.1820938635226985e-12	1.8824481353024554e-10	6451920911020224.0	7.529792541597033e-12
