T	4RT	H2O_des_c	H2O_des_s	H2O_des_m	H2O_des_s_c	H2O_des_s/c	H2O_des
10.0	0.332578484	0.01078436837279707	0.009319785618598234	2.521885909551614e-106	-0.001464582754198836	0.8641939236892947	0.33111390124580115
20.0	0.665156968	0.21750868983627344	0.21428653043624063	7.184459475590441e-53	-0.0032221594000328146	0.9851860658879503	0.6619348085999672
30.0	0.997735452	0.8465528163814555	0.8509851093969392	4.7273416195402585e-35	0.004432293015483646	1.0052356957885147	1.0021677450154836
40.0	1.330313936	1.9318101326549317	1.9474219909984594	3.8346738477848394e-26	0.01561185834352763	1.0080814662267414	1.3459257943435277
50.0	1.6628924200000001	3.4381105195334065	3.463670061417356	8.495624291921695e-21	0.0255595418839496	1.0074341827404136	1.6884519618839497
60.0	1.995470904	5.331491332735391	5.362707957860595	3.110569259074415e-17	0.031216625125203734	1.005855139430413	2.026687529125204
70.0	2.328049388	7.587438223033342	7.617282460299579	1.0921952621056945e-14	0.029844237266237528	1.0039333746633532	2.3578936252662483
80.0	2.660627872	10.18592647584572	10.205154117307503	8.859222266124309e-13	0.01922764146178224	1.001887667411244	2.6798555134626687
90.0	2.9932063560000004	13.107805931306727	13.105862148265391	2.705499792972797e-11	-0.0019437830413355783	0.9998517079783206	2.9912625729857205
100.0	3.3257848400000003	16.333983115114577	16.299925760844484	4.16993255711024e-10	-0.03405735427009304	0.9979149388100825	3.2917274861469
110.0	3.658363324	19.846012736082624	19.76919428086117	3.908697829335076e-09	-0.07681845522145281	0.9961292751222623	3.5815448726872465
120.0	3.990941808	23.626922156143358	23.49736770881881	2.5231979334486598e-08	-0.1295544473245478	0.9945166600004707	3.8613873859074324
130.0	4.323520292	27.66175194408144	27.470285895086842	1.2225526953254007e-07	-0.19146604899459874	0.993078310824938	4.132054365260671
140.0	4.656098776	31.93772406966405	31.675931393198923	4.7280443012292526e-07	-0.26179267646512727	0.9918030265433413	4.394306572339303
150.0	4.98867726	36.44412590002667	36.10422539793474	1.5267700977382735e-06	-0.339900502091929	0.990673380313076	4.64877828467817
160.0	5.321255744	41.172032530324365	40.74671732386746	4.258231683581081e-06	-0.4253152064569079	0.989669803011458	4.895944795774776
170.0	5.653834228	46.11396766164116	45.59624697975612	1.0526366469897386e-05	-0.517720681885045	0.9887730180650732	5.136124072481421
180.0	5.986412712000001	51.26356842131027	50.646628704967654	2.3531833031941285e-05	-0.616939716342614	0.9879653380491914	5.3694965274904165
190.0	6.318991196	56.61528948863467	55.89238225722464	4.833445852882923e-05	-0.7229072314100335	0.9872312366864228	5.5961322990484925
200.0	6.651569680000001	62.1641608681064	61.328518493100304	9.238437051498707e-05	-0.8356423750060955	0.9865574896638744	5.816019689364423
210.0	6.9841481640000005	67.90560081454264	66.95037797819097	0.00016601478646943737	-0.9552228363516662	0.9859330773177241	6.029091342434807
220.0	7.316726648	73.8352785892365	72.75351568918096	0.00028284983040090776	-1.081762900055537	0.9853489697509825	6.235246597774862
230.0	7.649305132	79.94901882718844	78.73362315898616	0.0004600922805275918	-1.2153956682022766	0.9847978663649471	6.4343695560782574
240.0	7.981883616	86.24273872721223	84.8864794389878	0.0007186707358103352	-1.3562592882244218	0.984273930672421	6.626342998511386
250.0	8.3144621	92.71240994810637	91.20792320857633	0.0010832403785326326	-1.5044867395300372	0.983772541989016	6.811058600848497
260.0	8.647040584	99.35403831472206	97.69383968809274	0.0015820442366686325	-1.6601986266293238	0.9832900740142002	6.988424001607347
270.0	8.979619068	106.16365580137864	104.34015738075061	0.0022466514976634245	-1.8234984206280274	0.9828237035842133	7.15836729886963
280.0	9.312197552	113.13732054840092	111.14285091289783	0.0031115956731338746	-1.9944696355030942	0.982371249152486	7.320839512170039
290.0	9.644776036	120.27112177982846	118.09794728806413	0.004213938489617104	-2.1731744917643283	0.9819310366478281	7.4758154827252845
300.0	9.97735452	127.56118739512091	125.20153370338939	0.005592785821668254	-2.3596536917315234	0.9815017895339709	7.623293614090139
