T	470_TPD_HH	470_rate_HH	470_TPD_full	470_pre_full	470_rate_full	470_TPD_Tait	470_pre_Tait	470_rate_Tait
1.0	0.0	0.0	0.0	107091808.61877497	0.0	0.0	107091808.61877497	0.0
2.0	0.0	0.0	0.0	1211605505.341884	0.0	0.0	1211605505.3418834	0.0
3.0	0.0	0.0	0.0	5008188247.258342	0.0	0.0	5008188247.258343	0.0
4.0	0.0	0.0	0.0	13707751503.179913	0.0	0.0	13707751503.203196	0.0
5.0	0.0	0.0	0.0	29933070476.345486	0.0	0.0	29933070488.12234	0.0
6.0	0.0	0.0	0.0	56661181085.04583	0.0	0.0	56661181937.52231	0.0
7.0	0.0	0.0	0.0	97185014545.69742	0.0	0.0	97185034518.6889	0.0
8.0	9.21893216347662e-280	3.6875728653906484e-281	6.385780613954354e-281	155085276144.19818	2.554312245581742e-282	6.385790024283604e-281	155085504683.76108	2.5543160097134417e-282
9.0	2.0098607350779673e-247	8.039442940311869e-249	2.102474935675563e-248	234208177250.24814	8.409899742702252e-250	2.1024893723965836e-248	234209785449.2608	8.409957489586335e-250
10.0	1.4928268675258156e-221	5.971307470103263e-223	2.2579703807110064e-222	338646031634.65173	9.031881522844026e-224	2.258023737496576e-222	338654033982.1795	9.032094949986304e-224
11.0	2.1936777317106684e-200	8.774710926842674e-202	4.6316740236078084e-201	472718231690.443	1.8526696094431234e-202	4.6319758358119665e-201	472749035268.31244	1.8527903343247867e-202
12.0	9.564448890775099e-183	3.82577955631004e-184	2.738087630384352e-183	640950639769.2046	1.0952350521537409e-184	2.7385039537680966e-183	641048095649.0679	1.0954015815072387e-184
13.0	8.0659058697267705e-168	3.226362347890708e-169	3.055192311900219e-168	848052221130.2688	1.2220769247600876e-169	3.0561449097363833e-168	848316640724.301	1.2224579638945533e-169
14.0	5.020301008393158e-155	2.0081204033572633e-156	2.464031522420084e-155	1098888668042.6042	9.856126089680335e-157	2.4654542197989695e-155	1099523151008.2183	9.861816879195879e-157
15.0	6.157288296760916e-144	2.4629153187043665e-145	3.845920903378124e-144	1398453571375.8804	1.5383683613512496e-145	3.849709472301672e-144	1399831170623.1467	1.539883788920669e-145
16.0	3.108195753931808e-134	1.2432783015727231e-135	2.4320089414949787e-134	1751838220879.7097	9.728035765979915e-136	2.4358321731761254e-134	1754592192410.009	9.743328692704502e-136
17.0	1.1342058919494382e-125	4.536823567797753e-127	1.0963579348419537e-125	2164201321963.0918	4.385431739367815e-127	1.0989607564675354e-125	2169339269912.2988	4.395843025870142e-127
18.0	4.636375610772959e-118	1.8545502443091837e-119	5.468485196281888e-118	2640739861188.777	2.1873940785127552e-119	5.487208224592591e-118	2649781240182.699	2.1948832898370365e-119
19.0	3.0001570297786345e-111	1.2000628119114538e-112	4.27014687034355e-111	3186662128362.438	1.70805874813742e-112	4.290428315658365e-111	3201797465777.1846	1.716171326263346e-112
20.0	4.052422445904302e-105	1.6209689783617208e-106	6.890949369662294e-105	3807163601040.0405	2.7563797478649177e-106	6.934876915703584e-105	3831433022479.6597	2.7739507662814337e-106
21.0	1.429298378734688e-99	5.717193514938752e-101	2.8774805388381642e-99	4507406086926.655	1.1509922155352657e-100	2.9014126017651716e-99	4544894273086.017	1.1605650407060687e-100
22.0	1.580920408285934e-94	6.323681633143736e-96	3.73709122798945e-94	5292500244698.21	1.4948364911957799e-95	3.7766648746309223e-94	5348544778201.952	1.510665949852369e-95
23.0	6.379310691437592e-90	2.551724276575037e-91	1.7572967782452386e-89	6167491385817.179	7.029187112980954e-91	1.7804928766668716e-89	6248901503317.5625	7.121971506667487e-91
24.0	1.0652551906734813e-85	4.261020762693925e-87	3.3958879910254823e-85	7137348304569.134	1.358355196410193e-86	3.4507386277474627e-85	7252631288002.855	1.3802954510989851e-86
25.0	8.183218240475522e-82	3.273287296190209e-83	2.999638931914364e-81	8206954786558.551	1.1998555727657457e-82	3.0579700271801507e-81	8366547548341.793	1.2231880108720603e-82
26.0	3.1628711529958366e-78	1.2651484611983347e-79	1.325251273264919e-77	9381103397898.705	5.301005093059676e-79	1.3558363666509539e-77	9597607187992.727	5.423345466603815e-79
27.0	6.638287065003489e-75	2.6553148260013955e-76	3.161978948679017e-74	10664491147163.36	1.264791579471607e-75	3.2474933014663793e-74	10952907696753.994	1.2989973205865518e-75
28.0	8.076862703098162e-72	3.230745081239265e-73	4.351255936294033e-71	12061716628971.223	1.740502374517613e-72	4.487607555059109e-71	12439684418392.18	1.7950430220236436e-72
29.0	6.02724109405913e-69	2.4108964376236522e-70	3.6550564676281983e-68	13577278292361.389	1.4620225870512794e-69	3.786435967858049e-68	14065307971883.564	1.51457438714322e-69
30.0	2.8966530465680673e-66	1.158661218627227e-67	1.968555274343704e-65	15215573521236.65	7.874221097374817e-67	2.0489904372783116e-65	15837281812222.887	8.195961749113246e-67
31.0	9.355180990171652e-64	3.7420723960686606e-65	7.095380027037794e-63	16980898262309.158	2.8381520108151176e-64	7.42227741944437e-63	17763239918642.918	2.9689109677777482e-64
32.0	2.10742663826889e-61	8.429706553075561e-63	1.776881769947542e-60	18877446984078.652	7.107527079790169e-62	1.868514402656116e-60	19850944599521.418	7.474057610624464e-62
33.0	3.4214109688576863e-59	1.3685643875430745e-60	3.195271825919584e-58	20909312795698.566	1.2781087303678335e-59	3.378493543392234e-58	22108284404474.98	1.3513974173568935e-59
34.0	4.1204814462705674e-57	1.648192578508227e-58	4.24771871077757e-56	23080487595533.25	1.699087484311028e-57	4.5169286758274765e-56	24543272135188.156	1.8067714703309906e-57
35.0	3.776472636507811e-55	1.5105890546031246e-56	4.2834628944181324e-54	25394862154980.754	1.713385157767253e-55	4.5818783861712047e-54	27164042947431.504	1.832751354468482e-55
36.0	2.694593901744251e-53	1.0778375606977005e-54	3.352574273887464e-52	27856226073504.69	1.3410297095549856e-53	3.608038271684712e-52	29978852537505.383	1.4432153086738848e-53
37.0	1.5274805913732603e-51	6.109922365493041e-53	2.078673448074861e-50	30468267565938.652	8.314693792299444e-52	2.251131138021911e-50	32996075407029.227	9.004524552087645e-52
38.0	7.005101213337446e-50	2.8020404853349787e-51	1.039841930353556e-48	33234573063378.508	4.1593677214142243e-50	1.1333813528998912e-48	36224203200591.195	4.533525411599564e-50
39.0	2.641698318384928e-48	1.0566793273539713e-49	4.266364467265492e-47	36158626624874.39	1.7065457869061967e-48	4.680889668650637e-47	39671843111297.37	1.8723558674602546e-48
40.0	8.312842334517949e-47	3.32513693380718e-48	1.4570803650391417e-45	39243809169230.34	5.828321460156567e-47	1.6094540183419312e-45	43347716349718.98	6.4378160733677245e-47
41.0	2.2118749307628844e-45	8.847499723051538e-47	4.1980231567364767e-44	42493397545077.016	1.6792092626945906e-45	4.668991951085314e-44	47260656672144.06	1.8675967804341255e-45
42.0	5.036362665101068e-44	2.014545066040427e-45	1.032743394494364e-42	45910563463536.07	4.130973577977456e-44	1.1566676054334284e-42	51419608964400.414	4.626670421733713e-44
43.0	9.920568050395699e-43	3.9682272201582794e-44	2.1932607450830592e-41	49498372321719.93	8.773042980332237e-43	2.4739743659470275e-41	55833627877837.875	9.89589746378811e-43
44.0	1.7072956177855568e-41	6.829182471142227e-43	4.061354665950697e-40	53259781947450.53	1.624541866380279e-41	4.614367221207288e-40	60511876514343.99	1.8457468884829152e-41
45.0	2.5902542693882637e-40	1.0361017077553055e-41	6.617338107896207e-39	57197641296295.74	2.646935243158483e-40	7.57365044463762e-39	65463625157523.54	3.0294601778550485e-40
46.0	3.493067975285466e-39	1.3972271901141864e-40	9.566088071793681e-38	61314689131640.414	3.826435228717473e-39	1.103007608867005e-37	70698250047402.52	4.4120304354680204e-39
