T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5.1	0.9999373955982241	0.99996326804223	0.9999998046281768	0.9999613115564037	0.9997290637598752	0.9999998046281768	0.9999613115564037	0.9997290637598752
10.1	0.9943190775409829	0.9940928497550078	0.9995905340331759	0.9931431600041692	0.9794118875991055	0.9995905340331759	0.9931431600041692	0.9794118875991055
15.1	0.9731876304012604	0.9661308658737644	0.994579431545317	0.9581982324357884	0.9097744715238971	0.994579431545317	0.9581982324357884	0.9097744715238971
20.1	0.9404766052148573	0.9180845038172083	0.9801310799047306	0.8953063648097302	0.8125169639197398	0.9801310799047306	0.8953063648097302	0.8125169639197398
25.1	0.9022534019006129	0.8609284734133937	0.9564629398003738	0.8187282310843574	0.7123826053724448	0.9564629398003738	0.8187282310843574	0.7123826053724448
30.1	0.8622690551507602	0.802552285307572	0.9261111341913998	0.7399770336842354	0.620862367673154	0.9261111341913998	0.7399770336842354	0.620862367673154
35.1	0.8224999302002197	0.746863038033336	0.8914652372209251	0.6652648382945858	0.5412918656147766	0.8914652372209251	0.6652648382945858	0.5412918656147766
40.1	0.7838850585124929	0.6953302432834526	0.8542294425606938	0.5971675165881266	0.47349614976055754	0.8542294425606938	0.5971675165881266	0.47349614976055754
45.1	0.7468000627708461	0.6482123123340477	0.8155607203725991	0.5362975407186334	0.4160885004511883	0.8155607203725991	0.5362975407186334	0.4160885004511883
50.1	0.7113342240390575	0.6052457547185276	0.7762715384299319	0.4823479513677653	0.36743970641618057	0.7762715384299319	0.4823479513677653	0.36743970641618057
55.1	0.6774474982110473	0.5659901984210289	0.7369629746613369	0.43465265481824505	0.3260408502418197	0.7369629746613369	0.43465265481824505	0.3260408502418197
60.1	0.6450549849197521	0.5299873979795536	0.6980962939705613	0.3924603863723267	0.2906099427722109	0.6980962939705613	0.3924603863723267	0.2906099427722109
65.1	0.6140680839521324	0.4968256553645013	0.6600296915608457	0.35505560100152467	0.2600976616882421	0.6600296915608457	0.35505560100152467	0.2600976616882421
70.1	0.5844110256047848	0.46615847384819953	0.6230385718653427	0.3218028599936058	0.23365844519785586	0.6230385718653423	0.3218028599936056	0.23365844519785572
75.1	0.5560245354260189	0.4377027587615096	0.5873288674720338	0.29215557077886956	0.2106140051370143	0.5873288674720305	0.29215557077886783	0.2106140051370131
80.1	0.5288636461428404	0.41122929630572197	0.5530475747744229	0.2656497790968583	0.1904193846133292	0.5530475747743979	0.26564977909684634	0.19041938461332059
85.1	0.5028935343922257	0.3865515867549148	0.5202920546953889	0.24189296528618073	0.17263457256105724	0.5202920546952464	0.2418929652861145	0.17263457256100997
90.1	0.47808531750402067	0.363515656041551	0.4891185213253503	0.2205523003150845	0.15690187734012134	0.48911852132468375	0.22055230031478396	0.15690187733990754
95.1	0.45441262426334217	0.3419917421144254	0.4595497411690971	0.20134411922741846	0.14292829688974285	0.4595497411664634	0.20134411922626455	0.14292829688892372
100.1	0.4318491563431861	0.32186794204194313	0.4315818766500371	0.18402511252734466	0.13047191555188065	0.4315818766410253	0.18402511252350207	0.13047191554915627
105.1	0.4103671723012612	0.30304557084878525	0.4051904310680413	0.1683851967619002	0.11933143268864171	0.40519043104078256	0.16838519675057226	0.11933143268061382
110.1	0.3899367154273875	0.2854358839237751	0.3803353019638824	0.15424183007007675	0.10933808538584627	0.3803353018897576	0.15424183004001607	0.10933808536453701
115.1	0.3705253858785515	0.26895782394985307	0.35696499321267894	0.14143549824155435	0.10034938803750011	0.35696499302892426	0.14143549816874768	0.1003493879858433
120.1	0.3520984778134463	0.2535365048322419	0.33502006441650395	0.12982611977764968	0.0922442489035313	0.33502006399638	0.12982611961484433	0.0922442487878546
125.1	0.3346193372641875	0.23910220673883578	0.3144359099849268	0.11929016148819957	0.08491913266027079	0.31443590909034125	0.1192901611488132	0.08491913241867169
130.1	0.3180498330220628	0.22558971365644867	0.29514496326619494	0.10971830051428794	0.07828502119932376	0.29514496147739677	0.10971829984931336	0.07828502072485827
135.1	0.3023508650055866	0.2129378725010629	0.2770784170049941	0.10101350722744622	0.07226498731384029	0.27707841362236585	0.10101350599425332	0.07226498643161501
140.1	0.28748286048222566	0.20108928992539638	0.2601675433190719	0.09308945443310888	0.06679224222936639	0.2601675372332037	0.09308945225554999	0.06679224066695481
145.1	0.27340622811750587	0.18999011059791834	0.24434468648818508	0.085869182129718	0.06180855221039832	0.24434467601626023	0.08586917844960677	0.06180854956145791
150.1	0.26008175394277167	0.17958984059148503	0.2295439915530314	0.0792839649299908	0.05726294484525137	0.2295439742419126	0.07928395895077031	0.057262940526751745
155.1	0.24747093303527606	0.16984119336877812	0.21570192187295842	0.07327234242976696	0.053110644446506663	0.21570189427198055	0.07327233305391957	0.0531106376505277
160.1	0.23553623703489684	0.16069994522462605	0.20275760983591037	0.0677792824577503	0.04931219004832203	0.2027575672449802	0.06777926822014567	0.04931217968988447
165.1	0.22424132148198567	0.1521247931900576	0.19065307704117532	0.06275545418204892	0.04583270001113996	0.19065301324207462	0.06275543318190771	0.04583268467393644
170.1	0.21355117907636545	0.1440772122819843	0.17933335351672672	0.058156593197772465	0.04264125518688048	0.1793332604973012	0.058156563032202124	0.04264123306904805
175.1	0.20343224588627198	0.13652131131160697	0.16874651983120909	0.05394294450343661	0.039710378628211564	0.16874638751324994	0.05394290220555494	0.039710347490406396
180.1	0.19385246769157025	0.1294236877619517	0.15884369121410383	0.050078772078563254	0.03701559443517259	0.15884350719613316	0.050078714063076825	0.03701555155317634
185.1	0.1847813333252647	0.12275328287608546	0.14957895888730038	0.04653192587828621	0.0345350518801997	0.14957870821316296	0.046531847897061655	0.034534994004116026
190.1	0.17618988128859964	0.11648123831504428	0.14090930061686663	0.04327345866079712	0.032249203701809726	0.14090896558008617	0.04327335577049673	0.032249127023625014
195.1	0.16805068519845562	0.11058075571882041	0.13279446990242813	0.04027728630022991	0.03014052960210177	0.13279402989482078	0.040277152843525066	0.03014042973301593
200.1	0.1603378228727333	0.1050269603470655	0.12519687113203426	0.03751988621005543	0.02819329766788392	0.12519630254323263	0.037519715811331046	0.028193169626398618
205.1	0.1530268331269523	0.09979676976015521	0.11808142635456742	0.034980029280105615	0.026393357767098988	0.11808070252704166	0.03497981485596774	0.026393195978412665
210.1	0.14609466367613677	0.09486876826989762	0.1114154379844376	0.03263854136337634	0.02472796203195066	0.11141452922645469	0.032638275147710435	0.024727760338780446
215.1	0.1395196129269141	0.09022308766796565	0.10516845069128049	0.03047809087187762	0.023185608388599063	0.1051673243481437	0.03047776445470355	0.02318536007315171
220.1	0.13328126791149714	0.08584129454248494	0.09931211488809512	0.028482999479125953	0.02175590377674307	0.09931073547005813	0.028482603858075356	0.021755601593206705
225.1	0.1273604401573753	0.08170628432489689	0.09382005357139132	0.02663907329855656	0.02042944425616261	0.093818382934924	0.026638598941469627	0.02042908047279986
230.1	0.12173910089941677	0.07780218207133911	0.08866773375101844	0.0249334522254599	0.01919770964850914	0.08866573132866676	0.024932889142363843	0.01919727609820538
235.1	0.11640031671822376	0.07411424987374585	0.08383234330654415	0.023354475404890943	0.01805297073229892	0.08382996637950128	0.023353813227478593	0.018052458870258026
240.1	0.11132818642236397	0.07062880071275747	0.0792926737979489	0.02189156102682949	0.01698820731350239	0.0792898778046459	0.02189078909349579	0.016987608280683804
245.1	0.10650777977512223	0.06733311850373536	0.07502900952209883	0.020535098858447443	0.015997035746098332	0.07502574839562225	0.0205342063029544	0.015996340436948565
250.1	0.10192507849130582	0.06421538404517275	0.07102302292776493	0.01927635410619609	0.015073644686511211	0.07101924945468865	0.01927532994811002	0.015072843819552284
255.1	0.09756691978992614	0.06126460655208056	0.06725767636864903	0.01810738136119823	0.014212738040909513	0.06725334256190175	0.01810621459636549	0.014211822230799136
260.1	0.09342094267828843	0.05847056044248098	0.06371713007621682	0.017020947523092092	0.013409484211223573	0.06371218755485111	0.017019627212577527	0.013408444040987753
265.1	0.089475537057059	0.055823727040284536	0.0603866561643026	0.01601046272249392	0.01265947086948398	0.06038105653345164	0.016008978078589226	0.012658296961734481
270.1	0.08571979566982017	0.05331524086026693	0.057252558429256514	0.015069918372711622	0.011958664594737874	0.05724625365411819	0.015068258840818208	0.01195734768081659
275.1	0.08214346887069934	0.050936840148748073	0.054302097677902686	0.014193831579028066	0.01130337479564052	0.05429504044623982	0.014191986914421717	0.011301905781773355
280.1	0.07873692214676901	0.048680821365364266	0.05152342229687357	0.013377195220315264	0.010690221417496164	0.05151556636523023	0.013375155559001137	0.01068859144718433
285.1	0.075491096305374	0.04653999730576899	0.04890550376788551	0.012615433094267834	0.01011610599719915	0.04889680428746056	0.012613189017327603	0.010114306509220926
290.1	0.07239747021827043	0.044507658581260316	0.0464380768318026	0.01190435958532097	0.009578185684973277	0.04642849065066791	0.011901902176335436	0.00957620846650985
295.1	0.06944802600260278	0.04257753818841186	0.04411158400798251	0.011240143374360224	0.009073849899482643	0.04410106994706286	0.011237464269656971	0.00907168713401492
