T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
148.0	7.98273003522835e-06	3.1931653974751237e-07	0.003723909047048945	1121714137090911.8	0.0001504977130735154	0.013645117271926353	4223497652099741.0	0.0005666566166856262
149.0	1.0595873021321328e-05	4.238480449351838e-07	0.0049917275376376085	1137057220762892.0	0.00020249709510527464	0.01828123734743549	4324224097667280.5	0.0007700956489897244
150.0	1.4012396595900903e-05	5.605191590091737e-07	0.006656762991253553	1152440290906025.2	0.0002714158388314437	0.0242722809186515	4426654838868932.0	0.001042539249789951
151.0	1.846332395796566e-05	7.385740026419175e-07	0.008828416476910992	1167861925548438.2	0.0003624197106559735	0.03188193735371691	4530807061734247.0	0.001406034179580471
152.0	2.4241508592230705e-05	9.697321385014644e-07	0.011638545154669819	1183320715129174.2	0.0004821481993206145	0.041332829380793724	4636698009675673.0	0.0018892389591223895
153.0	3.171693712810791e-05	1.2688021794798084e-06	0.01524136823342171	1198815262519949.0	0.0006391053781340939	0.052722056514332406	4744344983298196.0	0.0025292774369386445
154.0	4.135550293036407e-05	1.6544351841277962e-06	0.01980953586200024	1214344183040786.5	0.0008441465444550055	0.0658844273295227	4853765340210911.0	0.003374075733022141
155.0	5.374196076173454e-05	2.150046840272304e-06	0.025523447060074405	1229906104469865.0	0.0011110821518689304	0.08019512372496838	4964976494840423.0	0.004485299119841161
156.0	6.960789960048613e-05	2.784942851329758e-06	0.032549567282074365	1245499667048011.8	0.0014574249369476672	0.09432778760601769	5077995918246063.0	0.005942031199824473
157.0	8.986571499666208e-05	3.595688247481529e-06	0.04100206300985256	1261123523478185.8	0.0019053113295946292	0.10604173690240579	5192841137936912.0	0.007845368727726698
