T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5.1	0.9996201195217577	0.9999049827407296	0.9999506481336284	0.9999036602231258	0.9995303060820208	0.9999506481336284	0.9999036602231258	0.9995303060820208
10.1	0.9827552908841956	0.9911409240566832	0.9932978402609831	0.990515195950619	0.977853895887237	0.9932978402609831	0.990515195950619	0.977853895887237
15.1	0.9329006898856766	0.9581539148022653	0.9642292213426525	0.953317578404381	0.9136897386732459	0.964229221342612	0.953317578404341	0.9136897386732076
20.1	0.8628576810652927	0.9050059827793457	0.9145436843369928	0.8908507223232288	0.8247450436144049	0.9145436842554758	0.8908507222438237	0.8247450435408921
25.1	0.7855460503414388	0.8401157605059161	0.8515961192520444	0.8118887862859455	0.7285886567552328	0.8515961116266837	0.8118887790161322	0.7285886502313054
30.1	0.7080370861029438	0.7699654371086609	0.7812196675798962	0.7244723932579025	0.6342124421121049	0.7812195156397557	0.7244722523545922	0.6342123187635366
35.1	0.6338566440666873	0.6988999091910713	0.707939939693561	0.6352295217685553	0.5458150584625872	0.7079386954854945	0.6352284053494205	0.545814099189829
40.1	0.5647398915581492	0.6297110951854163	0.6352283995937082	0.5491354595350241	0.4654482090831569	0.6352225729234049	0.5491304225573375	0.4654439397317562
45.1	0.5014662008662335	0.5641342775860474	0.5655620939069961	0.46946947483956186	0.39402560382215607	0.5655433243927077	0.46945389438586654	0.3940125271515648
50.1	0.4442587024971887	0.5031743228981942	0.5005318719597891	0.3980160665818769	0.3317078337839305	0.5004853762173624	0.39797909380641505	0.33167702055731196
55.1	0.39300500323133786	0.44732420838912	0.44101080744055826	0.3354098184208041	0.27813271859733774	0.4409156785157191	0.3353374683221931	0.2780727235449799
60.1	0.34739472638359514	0.3967216560602417	0.3873369903379157	0.28150214966731196	0.23260622135284742	0.3871683523545121	0.2813795898394931	0.23250494973388364
65.1	0.30700955383145123	0.351265414947797	0.33947802247473885	0.23567503899142747	0.19426057487002366	0.33921021065048207	0.2354891166107562	0.19410732406881462
70.1	0.27138236712846386	0.31070166772536484	0.2971638867205618	0.1970752878691452	0.16217265450209067	0.29677363958350456	0.19681648096052515	0.16195968308478004
75.1	0.24003538135593303	0.27468714836319685	0.25998680139311187	0.16477232788140403	0.13544298075484357	0.25945573334416955	0.16443575187747317	0.13516631501971016
80.1	0.21250392810784685	0.24283407648306105	0.2274721511316616	0.13785482248895475	0.11324201097835537	0.22678819059737856	0.13744032226299757	0.11290151625868654
85.1	0.18835049976964321	0.2147411373521801	0.1991263184372278	0.11548339075685901	0.09483245281731814	0.19828413531869477	0.11499496630885193	0.09443136926654178
90.1	0.16717225360609878	0.19001399019324397	0.17446714793669524	0.09691434338221182	0.07957567201430803	0.17346778511152833	0.09635920969001216	0.07911985572259202
95.1	0.14860418862651242	0.1682781025430316	0.15304194068772473	0.08150562832817262	0.06692852217762656	0.15189192634771595	0.08089316457511501	0.06642559624821145
100.1	0.1323195245513756	0.14918609927915497	0.13443684848629153	0.06871272693518841	0.056435068389848055	0.13314704644806813	0.06805348941027774	0.05589362408305202
105.1	0.11802833770517933	0.13242129677190534	0.11828057122940772	0.058079521248579034	0.047716124230455244	0.11686496902101247	0.05738441555465603	0.047145049453468535
110.1	0.10547517739123975	0.11769866837650918	0.10424445063536694	0.04922720638496143	0.04045837222944501	0.1027190198593372	0.04850685441245929	0.03986633643501468
115.1	0.09443615350353617	0.10476415086887464	0.09204042002202314	0.04184301420076375	0.03440405140147512	0.0904221260052967	0.041107312435097174	0.033799144660275615
120.1	0.08471582194196575	0.09339294128642742	0.08141779645180475	0.03566967918489754	0.029341689927179462	0.07972379045553399	0.03492752386925915	0.028731196879670094
125.1	0.07614407875643504	0.08338723714747774	0.07215956000409914	0.030496067815005534	0.025098054324582345	0.07040655758541732	0.02975521406483089	0.024488336777348116
130.1	0.06857319305742215	0.07457372765645957	0.06407852552338235	0.026149096845523752	0.021531312299652747	0.0622823567420544	0.02541611819112709	0.020927773584337794
135.1	0.06187505286020353	0.06680103803726807	0.05701364868023221	0.022486905273161086	0.018525316471787567	0.055188956713831755	0.02176722364690215	0.017932423420323963
140.1	0.055938660156729304	0.059937254082614425	0.05082659934151002	0.019393166150466327	0.015984877182444956	0.04898666089210769	0.018691127601396035	0.015406219736973596
