mol_iso_xtb	mol_def_xtb	mol_iso_cry	5A_complex	5A_ref	7_5A_complex	7_5A_ref	10A_complex	10A_ref	all_complex	all_ref	cry_des_all_complex	cry_des_all_ref	cry_des_all_opt_ref	cry_des_frag_complex	cry_des_frag_ref	cry_des_frag_opt_ref	cry_ads_all_complex	cry_ads_all_ref	cry_ads_frag_complex	cry_ads_frag_ref	cry_ads_mol_full_complex	cry_ads_mol_frag_complex	cry_ads_mol_only_complex
									" 326.27"	" 326.84"													
									" 326.59"	" 327.81"													
									" 327.25"	" 328.24"													
									" 327.82"	" 329.09"													
									" 328.52"	" 329.65"													
									" 328.56"	" 329.98"													
									" 329.31"	" 330.56"													
									" 329.97"	" 331.14"													
									" 331.02"	" 331.85"													
									" 331.09"	" 332.27"													
									" 331.63"	" 333.67"													
									" 332.15"	" 334.71"													
									" 332.76"	" 335.34"													
									" 334.24"	" 336.21"													
									" 335.98"	" 336.67"													
									" 336.73"	" 337.52"													
									" 337.36"	" 337.69"													
									" 337.84"	" 338.90"													
									" 338.48"	" 340.28"													
									" 339.53"	" 340.88"													
									" 341.15"	" 341.51"													
									" 341.38"	" 341.60"													
									" 341.63"	" 343.03"													
									" 342.73"	" 343.50"													
									" 343.00"	" 344.96"													
									" 344.52"	" 345.66"													
									" 345.63"	" 346.72"													
									" 346.01"	" 347.08"													
									" 347.46"	" 348.44"													
									" 348.26"	" 348.94"													
									" 348.97"	" 349.32"													
									" 349.84"	" 349.58"													
									" 350.31"	" 350.76"													
									" 350.72"	" 351.44"													
									" 351.18"	" 352.06"													
									" 352.11"	" 352.68"													
									" 352.46"	" 352.80"													
									" 353.04"	" 353.26"													
									" 354.00"	" 355.14"													
									" 355.90"	" 355.54"													
									" 356.55"	" 357.42"													
									" 358.00"	" 359.98"													
									" 358.38"	" 360.23"													
									" 359.21"	" 361.46"													
									" 359.95"	" 361.82"													
									" 362.06"	" 364.40"													
									" 362.67"	" 365.25"													
									" 363.65"	" 365.56"													
									" 364.27"	" 366.20"													
									" 365.63"	" 367.20"													
									" 366.30"	" 368.38"													
									" 366.38"	" 368.89"													
									" 366.99"	" 369.56"													
									" 367.70"	" 370.59"													
									" 368.42"	" 371.62"													
									" 369.50"	" 372.05"													
									" 370.84"	" 372.37"													
									" 371.46"	" 372.75"													
									" 371.99"	" 373.19"													
									" 373.13"	" 374.52"													
									" 373.80"	" 374.77"													
									" 374.16"	" 375.97"													
									" 374.99"	" 376.16"													
									" 375.34"	" 376.82"													
									" 375.75"	" 377.34"													
									" 376.67"	" 377.56"													
									" 377.12"	" 378.49"													
									" 377.87"	" 379.02"													
									" 378.24"	" 379.65"													
									" 378.63"	" 380.36"													
									" 379.77"	" 380.94"													
									" 380.47"	" 381.53"													
									" 381.25"	" 381.90"													
									" 381.82"	" 382.97"													
									" 382.15"	" 384.63"													
									" 383.33"	" 385.05"													
									" 384.49"	" 387.19"													
									" 384.76"	" 387.75"													
									" 386.00"	" 388.25"													
									" 386.28"	" 388.67"													
									" 387.22"	" 390.32"													
									" 388.14"	" 390.67"													
									" 388.83"	" 391.17"													
									" 389.51"	" 392.03"													
									" 390.15"	" 393.06"													
									" 390.50"	" 394.24"													
									" 392.20"	" 394.52"													
									" 392.49"	" 394.78"													
									" 393.18"	" 395.37"													
									" 393.93"	" 396.90"													
									" 394.97"	" 398.03"													
									" 396.35"	" 398.20"													
									" 396.84"	" 398.65"													
									" 397.00"	" 399.01"													
									" 397.79"	" 399.63"													
									" 398.81"	" 401.21"													
									" 399.44"	" 401.84"													
									" 399.89"	" 403.12"													
									" 400.14"	" 404.51"													
									" 401.23"	" 405.15"													
									" 401.76"	" 405.86"													
									" 404.17"	" 407.36"													
									" 404.87"	" 407.82"													
									" 405.56"	" 408.45"													
									" 406.87"	" 409.23"													
									" 407.67"	" 409.92"													
									" 408.34"	" 410.29"													
									" 409.13"	" 411.35"													
									" 409.67"	" 411.99"													
									" 410.16"	" 413.35"													
									" 411.89"	" 414.68"													
									" 412.41"	" 415.06"													
									" 413.73"	" 415.76"													
									" 414.22"	" 416.33"													
									" 415.28"	" 416.84"													
									" 415.51"	" 417.32"													
									" 416.69"	" 417.84"													
									" 417.14"	" 418.63"													
									" 417.32"	" 419.18"													
									" 418.57"	" 420.28"													
									" 418.91"	" 420.87"													
									" 419.22"	" 421.47"													
									" 419.90"	" 422.57"													
									" 421.48"	" 422.97"													
									" 422.22"	" 424.78"													
									" 422.69"	" 425.19"													
									" 423.33"	" 426.56"													
									" 423.58"	" 427.08"													
									" 424.39"	" 428.09"													
									" 425.78"	" 429.02"													
									" 427.07"	" 429.86"													
									" 427.76"	" 430.31"													
									" 428.40"	" 430.45"													
									" 429.06"	" 431.89"													
									" 430.26"	" 432.43"													
									" 430.53"	" 433.11"													
									" 433.10"	" 434.21"													
									" 433.71"	" 435.01"													
									" 434.26"	" 435.60"													
									" 434.77"	" 437.04"													
									" 435.33"	" 438.98"													
									" 435.88"	" 439.31"													
									" 436.27"	" 439.73"													
									" 437.93"	" 440.16"													
									" 438.48"	" 440.62"													
									" 439.24"	" 441.85"													
									" 441.03"	" 443.10"													
									" 441.63"	" 444.09"													
									" 442.46"	" 444.64"													
									" 443.38"	" 445.63"													
									" 444.20"	" 446.28"													
									" 444.89"	" 446.52"													
									" 445.45"	" 447.55"													
									" 446.16"	" 449.34"													
									" 446.96"	" 451.50"													
									" 448.33"	" 451.92"													
									" 450.07"	" 453.12"													
									" 450.82"	" 453.80"													
									" 451.65"	" 454.23"													
									" 453.20"	" 456.01"													
									" 453.71"	" 456.53"													
									" 454.39"	" 457.21"													
									" 456.29"	" 457.97"													
									" 456.59"	" 459.60"													
									" 458.84"	" 459.88"													
									" 459.65"	" 460.33"													
									" 460.19"	" 463.72"													
									" 460.98"	" 464.58"													
									" 461.55"	" 466.19"													
									" 463.10"	" 466.36"													
									" 463.95"	" 467.58"													
									" 464.56"	" 467.79"													
									" 466.91"	" 467.97"													
									" 467.34"	" 470.32"													
									" 468.09"	" 470.77"													
									" 468.47"	" 471.77"													
									" 469.07"	" 472.29"													
									" 470.09"	" 473.94"													
									" 471.33"	" 474.75"													
									" 472.18"	" 474.97"													
									" 473.36"	" 475.77"													
									" 473.87"	" 476.00"													
									" 474.37"	" 476.90"													
									" 476.61"	" 478.20"													
									" 477.05"	" 479.31"													
									" 477.51"	" 479.84"													
									" 478.51"	" 480.97"													
									" 478.85"	" 481.56"													
									" 479.91"	" 482.40"													
									" 480.06"	" 482.59"													
									" 480.78"	" 483.95"													
									" 482.01"	" 484.60"													
									" 482.77"	" 485.99"													
									" 484.27"	" 487.25"													
									" 484.75"	" 487.52"													
									" 485.17"	" 488.71"													
									" 486.14"	" 489.45"													
									" 486.72"	" 489.60"													
									" 487.73"	" 490.31"													
									" 488.33"	" 491.24"													
									" 488.84"	" 492.72"													
									" 489.23"	" 493.52"													
									" 490.50"	" 494.65"													
									" 490.84"	" 495.26"													
									" 491.30"	" 496.02"													
									" 492.72"	" 496.77"													
									" 494.22"	" 497.47"													
									" 494.98"	" 498.03"													
									" 495.43"	" 498.43"													
									" 495.67"	" 499.14"													
									" 497.16"	" 500.75"													
									" 497.49"	" 501.85"													
									" 497.96"	" 502.82"													
									" 499.73"	" 504.14"													
									" 501.62"	" 504.28"													
									" 502.04"	" 505.29"													
									" 502.61"	" 505.63"													
									" 504.24"	" 506.64"													
									" 505.02"	" 507.81"													
									" 505.13"	" 508.64"													
									" 506.63"	" 509.27"													
									" 507.48"	" 509.63"													
									" 507.76"	" 510.54"													
									" 508.45"	" 511.30"													
									" 509.11"	" 511.62"													
									" 509.71"	" 512.58"													
									" 510.40"	" 512.88"													
									" 510.80"	" 513.38"													
									" 511.01"	" 514.28"													
									" 512.35"	" 514.65"													
									" 512.88"	" 515.38"													
									" 513.03"	" 516.20"													
									" 513.90"	" 516.37"													
									" 514.74"	" 518.00"													
									" 515.34"	" 519.31"													
									" 516.13"	" 519.53"													
									" 517.99"	" 520.01"													
									" 518.48"	" 521.17"													
									" 519.29"	" 522.94"													
									" 520.04"	" 524.46"													
									" 520.96"	" 524.87"													
									" 521.87"	" 525.94"													
									" 523.64"	" 526.20"													
									" 523.81"	" 527.10"													
									" 525.03"	" 528.72"													
									" 525.98"	" 529.96"													
									" 526.78"	" 530.33"													
									" 527.41"	" 530.97"													
									" 528.20"	" 531.76"													
									" 528.87"	" 533.20"													
									" 529.80"	" 534.83"													
									" 532.17"	" 535.22"													
									" 533.50"	" 535.56"													
									" 533.53"	" 535.97"													
									" 534.54"	" 537.13"													
									" 535.12"	" 537.56"													
									" 535.29"	" 539.17"													
									" 536.59"	" 539.45"													
									" 537.00"	" 540.72"													
									" 537.77"	" 541.70"													
									" 538.48"	" 542.05"													
									" 539.51"	" 543.30"													
									" 540.80"	" 543.61"													
									" 542.41"	" 544.92"													
									" 543.03"	" 546.10"													
									" 543.41"	" 546.63"													
									" 543.82"	" 548.26"													
									" 544.61"	" 548.64"													
									" 545.57"	" 548.89"													
									" 546.54"	" 549.90"													
									" 547.45"	" 550.95"													
									" 547.78"	" 551.83"													
									" 548.44"	" 552.53"													
									" 549.36"	" 552.92"													
									" 550.06"	" 553.44"													
									" 550.42"	" 554.56"													
									" 551.74"	" 556.30"													
									" 552.03"	" 556.51"													
									" 552.65"	" 557.58"													
									" 553.41"	" 558.00"													
									" 554.82"	" 559.17"													
									" 554.84"	" 560.29"													
									" 556.28"	" 560.63"													
									" 557.39"	" 561.01"													
									" 557.74"	" 561.96"													
									" 558.78"	" 562.42"													
									" 559.42"	" 563.67"													
									" 559.76"	" 564.17"													
									" 560.45"	" 564.98"													
									" 561.27"	" 566.84"													
									" 561.88"	" 567.09"													
									" 562.81"	" 567.55"													
									" 563.85"	" 568.46"													
									" 564.61"	" 568.96"													
									" 565.51"	" 569.36"													
									" 566.28"	" 571.37"													
									" 566.90"	" 571.45"													
									" 568.78"	" 572.25"													
									" 569.40"	" 573.03"													
									" 569.64"	" 574.18"													
									" 570.80"	" 574.54"													
									" 572.10"	" 575.21"													
									" 572.52"	" 575.81"													
									" 572.90"	" 575.97"													
									" 573.44"	" 577.72"													
									" 574.17"	" 578.17"													
									" 575.37"	" 578.34"													
									" 575.93"	" 578.96"													
									" 576.51"	" 579.97"													
									" 577.29"	" 580.15"													
									" 577.68"	" 581.03"													
									" 578.65"	" 581.39"													
									" 579.24"	" 583.19"													
									" 580.22"	" 583.47"													
									" 581.16"	" 584.22"													
									" 581.69"	" 586.01"													
									" 582.45"	" 586.23"													
									" 583.33"	" 586.41"													
									" 583.79"	" 587.88"													
									" 585.00"	" 588.79"													
									" 586.57"	" 589.51"													
									" 586.97"	" 589.72"													
									" 587.36"	" 590.30"													
									" 587.75"	" 590.82"													
									" 588.37"	" 591.13"													
									" 589.18"	" 592.54"													
									" 590.42"	" 593.14"													
									" 591.43"	" 593.70"													
									" 591.48"	" 594.49"													
									" 592.21"	" 594.71"													
									" 593.31"	" 595.74"													
									" 594.33"	" 596.09"													
									" 595.32"	" 597.91"													
									" 595.87"	" 599.68"													
									" 596.67"	" 600.71"													
									" 597.65"	" 601.32"													
									" 598.24"	" 601.53"													
									" 598.88"	" 602.85"													
									" 600.59"	" 603.80"													
									" 601.38"	" 604.01"													
									" 601.59"	" 604.59"													
									" 602.44"	" 605.25"													
									" 603.58"	" 606.04"													
									" 604.25"	" 606.86"													
									" 605.33"	" 607.90"													
									" 605.81"	" 608.48"													
									" 606.74"	" 609.02"													
									" 607.10"	" 610.44"													
									" 608.42"	" 611.18"													
									" 609.42"	" 612.73"													
									" 609.96"	" 613.23"													
									" 611.17"	" 613.83"													
									" 612.11"	" 614.21"													
									" 612.41"	" 614.72"													
									" 613.47"	" 615.88"													
									" 614.62"	" 616.28"													
									" 614.86"	" 618.20"													
									" 615.18"	" 618.45"													
									" 616.56"	" 618.97"													
									" 617.76"	" 619.79"													
									" 617.98"	" 620.34"													
									" 619.04"	" 621.48"													
									" 619.70"	" 622.13"													
									" 620.35"	" 622.98"													
									" 621.77"	" 623.37"													
									" 622.20"	" 624.20"													
									" 622.82"	" 624.96"													
									" 623.53"	" 625.46"													
									" 623.94"	" 625.97"													
									" 624.15"	" 627.43"													
									" 625.26"	" 627.69"													
									" 625.76"	" 629.57"													
									" 626.88"	" 629.87"													
									" 627.52"	" 630.41"													
									" 629.46"	" 631.22"													
									" 630.02"	" 632.51"													
									" 631.23"	" 633.58"													
									" 631.72"	" 634.17"													
									" 632.22"	" 635.67"													
									" 633.40"	" 636.54"													
									" 634.09"	" 636.86"													
									" 634.40"	" 637.82"													
									" 635.25"	" 639.41"													
									" 636.17"	" 640.51"													
									" 636.73"	" 640.89"													
									" 637.28"	" 642.15"													
									" 639.11"	" 643.18"													
									" 640.83"	" 644.90"													
									" 641.48"	" 645.71"													
									" 642.29"	" 646.31"													
									" 643.09"	" 647.61"													
									" 643.80"	" 647.97"													
									" 644.85"	" 648.78"													
									" 645.80"	" 650.79"													
									" 646.24"	" 651.20"													
									" 647.70"	" 652.00"													
									" 648.52"	" 653.23"													
									" 649.62"	" 653.98"													
									" 650.86"	" 656.05"													
									" 651.35"	" 656.77"													
									" 652.53"	" 657.10"													
									" 653.72"	" 657.61"													
									" 655.39"	" 658.09"													
									" 656.46"	" 659.22"													
									" 656.90"	" 660.99"													
									" 657.78"	" 661.57"													
									" 658.41"	" 663.07"													
									" 658.67"	" 663.21"													
									" 659.84"	" 664.43"													
									" 660.69"	" 664.92"													
									" 661.03"	" 665.81"													
									" 662.57"	" 666.87"													
									" 663.80"	" 667.20"													
									" 664.55"	" 668.56"													
									" 664.88"	" 669.59"													
									" 665.76"	" 670.24"													
									" 666.55"	" 670.58"													
									" 667.70"	" 671.48"													
									" 667.87"	" 672.01"													
									" 669.90"	" 673.08"													
									" 670.10"	" 674.21"													
									" 671.12"	" 674.92"													
									" 671.52"	" 675.60"													
									" 672.98"	" 677.23"													
									" 674.17"	" 677.67"													
									" 674.77"	" 678.26"													
									" 674.89"	" 678.63"													
									" 675.87"	" 679.88"													
									" 677.15"	" 681.02"													
									" 677.63"	" 682.52"													
									" 677.67"	" 683.15"													
									" 679.03"	" 685.98"													
									" 680.51"	" 686.31"													
									" 682.00"	" 686.78"													
									" 682.89"	" 687.59"													
									" 683.59"	" 687.85"													
									" 685.28"	" 688.97"													
									" 686.51"	" 690.06"													
									" 687.21"	" 691.93"													
									" 687.64"	" 692.86"													
									" 688.25"	" 693.49"													
									" 689.87"	" 694.59"													
									" 690.68"	" 696.26"													
									" 691.67"	" 696.45"													
									" 692.93"	" 696.73"													
									" 693.67"	" 698.04"													
									" 694.08"	" 698.63"													
									" 694.62"	" 700.09"													
									" 696.52"	" 701.02"													
									" 696.88"	" 701.43"													
									" 697.72"	" 703.17"													
									" 698.42"	" 703.69"													
									" 699.22"	" 704.24"													
									" 700.30"	" 705.15"													
									" 700.59"	" 706.32"													
									" 702.21"	" 707.02"													
									" 702.51"	" 707.76"													
									" 703.24"	" 708.52"													
									" 704.00"	" 710.87"													
									" 704.67"	" 711.26"													
									" 704.82"	" 712.29"													
									" 706.71"	" 713.70"													
									" 707.11"	" 714.85"													
									" 708.65"	" 715.05"													
									" 710.43"	" 716.00"													
									" 710.61"	" 717.06"													
									" 711.73"	" 717.96"													
									" 712.62"	" 718.38"													
									" 714.07"	" 719.28"													
									" 714.56"	" 719.81"													
									" 715.21"	" 720.48"													
									" 716.75"	" 721.97"													
									" 717.55"	" 723.42"													
									" 717.59"	" 724.31"													
									" 718.96"	" 724.65"													
									" 719.17"	" 725.50"													
									" 719.67"	" 726.00"													
									" 720.47"	" 727.46"													
									" 722.15"	" 729.28"													
									" 722.78"	" 729.54"													
									" 724.50"	" 732.66"													
									" 725.46"	" 733.22"													
									" 727.13"	" 734.15"													
									" 727.74"	" 735.04"													
									" 729.17"	" 736.19"													
									" 729.55"	" 737.28"													
									" 730.66"	" 738.17"													
									" 731.72"	" 739.02"													
									" 733.52"	" 740.06"													
									" 734.02"	" 740.72"													
									" 735.91"	" 741.66"													
									" 736.65"	" 743.02"													
									" 737.31"	" 743.66"													
									" 739.11"	" 744.62"													
									" 740.26"	" 745.75"													
									" 740.92"	" 747.48"													
									" 741.90"	" 747.97"													
									" 744.02"	" 749.81"													
									" 744.60"	" 751.09"													
									" 746.00"	" 751.78"													
									" 746.41"	" 752.26"													
									" 747.46"	" 753.16"													
									" 748.86"	" 753.50"													
									" 749.81"	" 754.35"													
									" 750.29"	" 755.00"													
									" 750.95"	" 756.08"													
									" 751.76"	" 758.21"													
									" 752.81"	" 759.20"													
									" 753.38"	" 760.09"													
									" 755.86"	" 760.58"													
									" 756.46"	" 762.24"													
									" 757.21"	" 763.59"													
									" 759.20"	" 764.61"													
									" 759.58"	" 765.62"													
									" 760.20"	" 766.73"													
									" 762.15"	" 767.93"													
									" 762.75"	" 769.33"													
									" 763.57"	" 770.37"													
									" 763.92"	" 772.54"													
									" 766.06"	" 773.47"													
									" 766.27"	" 773.90"													
									" 767.96"	" 775.98"													
									" 770.94"	" 776.57"													
									" 771.06"	" 777.61"													
									" 771.81"	" 779.39"													
									" 773.58"	" 780.77"													
									" 775.18"	" 781.23"													
									" 776.28"	" 782.98"													
									" 777.75"	" 783.31"													
									" 779.69"	" 785.24"													
									" 781.17"	" 786.25"													
									" 781.36"	" 787.80"													
									" 782.44"	" 788.67"													
									" 784.09"	" 788.97"													
									" 785.19"	" 790.32"													
									" 786.18"	" 791.57"													
									" 787.71"	" 793.91"													
									" 788.54"	" 794.41"													
									" 789.74"	" 794.53"													
									" 790.78"	" 796.02"													
									" 791.99"	" 796.97"													
									" 792.54"	" 797.41"													
									" 793.42"	" 799.14"													
									" 795.02"	" 799.51"													
									" 796.34"	" 800.37"													
									" 796.95"	" 802.10"													
									" 798.91"	" 803.51"													
									" 799.78"	" 804.93"													
									" 800.78"	" 805.63"													
									" 801.24"	" 807.30"													
									" 802.43"	" 807.66"													
									" 804.50"	" 809.57"													
									" 806.02"	" 809.96"													
									" 807.09"	" 811.25"													
									" 807.76"	" 813.42"													
									" 809.89"	" 815.68"													
									" 811.42"	" 816.60"													
									" 812.56"	" 818.88"													
									" 813.94"	" 820.47"													
									" 814.72"	" 822.33"													
									" 816.55"	" 823.29"													
									" 817.12"	" 825.86"													
									" 818.59"	" 827.68"													
									" 820.38"	" 828.83"													
									" 820.99"	" 831.65"													
									" 821.28"	" 832.71"													
									" 823.48"	" 833.62"													
									" 824.71"	" 833.64"													
									" 828.65"	" 836.04"													
									" 828.82"	" 837.96"													
									" 831.70"	" 839.69"													
									" 831.94"	" 841.29"													
									" 834.15"	" 844.64"													
									" 835.28"	" 844.91"													
									" 837.32"	" 846.34"													
									" 838.72"	" 848.52"													
									" 839.84"	" 848.90"													
									" 841.17"	" 849.82"													
									" 843.22"	" 852.10"													
									" 844.11"	" 852.70"													
									" 847.60"	" 853.68"													
									" 848.68"	" 855.20"													
									" 849.21"	" 856.35"													
									" 851.63"	" 860.29"													
									" 852.50"	" 862.10"													
									" 853.14"	" 864.07"													
									" 854.60"	" 864.37"													
									" 855.31"	" 865.51"													
									" 860.31"	" 868.09"													
									" 860.71"	" 869.20"													
									" 862.60"	" 871.09"													
									" 863.39"	" 873.16"													
									" 865.15"	" 874.47"													
									" 867.65"	" 877.27"													
									" 868.20"	" 878.20"													
									" 869.24"	" 880.01"													
									" 873.00"	" 880.64"													
									" 873.35"	" 882.37"													
									" 875.91"	" 885.78"													
									" 877.36"	" 887.37"													
									" 878.40"	" 887.88"													
									" 878.99"	" 893.10"													
									" 879.84"	" 895.23"													
									" 881.80"	" 896.31"													
									" 884.19"	" 897.93"													
									" 886.16"	" 900.37"													
									" 886.29"	" 901.76"													
									" 887.84"	" 903.34"													
									" 893.19"	" 905.52"													
									" 893.54"	" 906.71"													
									" 895.85"	" 912.06"													
									" 896.99"	" 912.15"													
									" 899.56"	" 912.80"													
									" 901.18"	" 913.03"													
									" 902.63"	" 916.71"													
									" 905.39"	" 917.47"													
									" 905.61"	" 919.22"													
									" 908.62"	" 919.88"													
									" 911.09"	" 922.87"													
									" 912.12"	" 924.53"													
									" 913.82"	" 926.62"													
									" 915.70"	" 928.10"													
									" 917.53"	" 932.43"													
									" 918.49"	" 933.37"													
									" 921.35"	" 935.86"													
									" 922.75"	" 940.57"													
									" 925.87"	" 941.90"													
									" 927.32"	" 943.88"													
									" 931.18"	" 947.87"													
									" 934.07"	" 949.05"													
									" 935.40"	" 950.02"													
									" 937.69"	" 953.50"													
									" 941.46"	" 955.17"													
									" 943.53"	" 957.13"													
									" 945.58"	" 961.75"													
									" 946.51"	" 965.25"													
									" 949.28"	" 966.47"													
									" 951.94"	" 967.54"													
									" 955.21"	" 969.07"													
									" 956.23"	" 971.56"													
									" 959.11"	" 973.08"													
									" 960.26"	" 976.68"													
									" 963.06"	" 980.35"													
									" 965.70"	" 982.07"													
									" 967.32"	" 983.93"													
									" 968.90"	" 986.03"													
									" 971.53"	" 988.24"													
									" 973.71"	" 990.17"													
									" 977.71"	" 995.95"													
									" 979.91"	" 996.53"													
									" 981.34"	" 998.24"													
									" 983.95"	1000.39													
									" 986.62"	1002.97													
									" 989.92"	1007.85													
									" 991.61"	1008.18													
									" 995.59"	1016.23													
									" 997.51"	1028.28													
									" 999.67"	1041.34													
									1004.32	1046.62													
									1007.18	1065.17													
									1016.14	1428.94													
									1017.49	1435.50													
									1025.82	1439.97													
									1027.33	1447.69													
									1047.36	1454.72													
									1065.89	1456.86													
									1427.48	1458.98													
									1433.96	1460.22													
									1441.14	1461.23													
									1444.19	1463.10													
									1444.94	1464.44													
									1449.44	1465.05													
									1453.23	1468.24													
									1456.22	1468.84													
									1458.38	1469.36													
									1459.94	1469.93													
									1463.60	1471.37													
									1465.26	1472.24													
									1467.11	1473.25													
									1468.16	1473.86													
									1468.67	1473.98													
									1469.64	1476.63													
									1470.34	1477.30													
									1471.26	1478.23													
									1472.47	1478.44													
									1473.77	1479.41													
									1474.50	1479.50													
									1476.58	1479.90													
									1477.63	1480.39													
									1477.92	1482.49													
									1478.39	1483.08													
									1478.54	1484.32													
									1479.12	1484.85													
									1479.90	1486.44													
									1480.03	1486.79													
									1480.40	1487.31													
									1481.57	1487.77													
									1481.84	1489.19													
									1483.47	1489.94													
									1484.28	1490.60													
									1485.42	1491.42													
									1486.27	1492.27													
									1486.77	1493.01													
									1487.29	1494.67													
									1488.40	1495.15													
									1488.98	1495.52													
									1489.85	1495.80													
									1491.53	1496.27													
									1491.82	1496.96													
									1492.33	1497.63													
									1494.51	1498.40													
									1495.13	1498.89													
									1495.80	1499.76													
									1496.04	1500.25													
									1496.76	1500.56													
									1497.62	1501.54													
									1497.79	1502.50													
									1498.27	1502.66													
									1498.63	1503.39													
									1498.91	1503.67													
									1499.73	1504.84													
									1500.26	1505.32													
									1500.90	1506.23													
									1501.35	1506.68													
									1502.01	1506.94													
									1502.48	1507.69													
									1502.96	1508.07													
									1503.72	1508.21													
									1504.75	1509.52													
									1505.19	1509.72													
									1505.82	1509.98													
									1506.70	1511.51													
									1507.29	1511.88													
									1508.25	1512.54													
									1508.57	1513.26													
									1508.93	1513.69													
									1509.40	1514.36													
									1509.83	1514.48													
									1510.32	1515.08													
									1511.14	1515.29													
									1511.75	1515.61													
									1512.29	1516.04													
									1512.47	1516.46													
									1513.32	1516.84													
									1513.77	1517.68													
									1514.32	1517.75													
									1514.94	1518.27													
									1515.27	1518.64													
									1515.62	1518.88													
									1515.84	1519.55													
									1517.09	1520.08													
									1517.30	1520.45													
									1517.43	1520.64													
									1517.80	1520.95													
									1518.56	1521.32													
									1518.89	1522.12													
									1519.18	1522.33													
									1519.69	1523.30													
									1519.98	1523.68													
									1520.42	1523.84													
									1520.77	1524.67													
									1521.36	1525.30													
									1521.63	1525.65													
									1521.95	1525.89													
									1522.27	1526.12													
									1523.00	1526.96													
									1523.29	1527.22													
									1523.57	1527.97													
									1524.36	1528.33													
									1525.31	1528.87													
									1525.80	1529.71													
									1526.42	1529.96													
									1526.54	1530.81													
									1526.88	1530.91													
									1527.74	1530.95													
									1528.17	1531.37													
									1529.26	1531.77													
									1529.40	1532.19													
									1529.65	1532.60													
									1530.18	1533.03													
									1530.77	1533.64													
									1531.09	1533.79													
									1531.32	1534.10													
									1531.73	1534.45													
									1532.16	1535.33													
									1532.62	1535.62													
									1532.86	1536.36													
									1533.46	1536.69													
									1533.66	1537.05													
									1534.46	1537.48													
									1534.82	1537.76													
									1534.94	1537.91													
									1535.32	1538.08													
									1535.98	1538.77													
									1537.11	1539.53													
									1537.67	1539.93													
									1537.79	1540.59													
									1537.95	1540.80													
									1538.22	1540.97													
									1538.53	1541.80													
									1539.13	1542.11													
									1539.33	1542.27													
									1539.84	1542.40													
									1540.76	1542.65													
									1540.83	1543.20													
									1541.19	1543.88													
									1541.41	1544.67													
									1541.80	1545.23													
									1542.26	1545.68													
									1542.76	1546.30													
									1543.27	1546.73													
									1543.69	1547.25													
									1544.52	1547.58													
									1545.22	1547.86													
									1545.57	1548.88													
									1546.07	1549.47													
									1546.39	1550.43													
									1547.00	1550.69													
									1547.23	1551.42													
									1547.76	1551.50													
									1548.28	1552.77													
									1548.46	1553.01													
									1548.93	1554.13													
									1549.60	1554.54													
									1550.59	1555.08													
									1551.15	1555.37													
									1551.59	1555.84													
									1552.00	1556.18													
									1552.53	1556.75													
									1553.00	1557.31													
									1553.38	1558.50													
									1554.02	1559.21													
									1555.09	1559.73													
									1555.18	1560.42													
									1556.29	1561.37													
									1556.90	1562.22													
									1556.96	1563.39													
									1558.15	1564.52													
									1559.20	1564.67													
									1560.36	1565.23													
									1560.85	1565.94													
									1560.99	1566.36													
									1563.13	1567.54													
									1563.84	1568.24													
									1564.46	1569.53													
									1564.63	1569.91													
									1565.84	1570.85													
									1566.16	1571.20													
									1566.87	1571.94													
									1567.34	1572.43													
									1567.41	1573.06													
									1568.34	1574.48													
									1569.08	1575.18													
									1571.00	1576.13													
									1571.23	1578.42													
									1571.80	1579.26													
									1572.64	1581.11													
									1573.18	1582.77													
									1574.39	1586.04													
									1575.10	1586.37													
									1575.64	2762.43													
									1577.56	2785.95													
									1580.40	2808.27													
									1582.37	2859.70													
									1585.79	2907.97													
									1586.55	2920.62													
									1587.81	2934.28													
									2749.67	2936.54													
									2784.75	2956.79													
									2869.93	2980.02													
									2916.08	2982.88													
									2920.23	2986.62													
									2927.78	2989.06													
									2936.89	2995.33													
									2940.98	2998.40													
									2980.09	3004.75													
									2983.90	3005.16													
									2987.73	3010.10													
									2989.25	3011.49													
									2990.82	3017.10													
									2993.96	3029.06													
									3004.59	3030.89													
									3005.24	3032.76													
									3009.15	3035.10													
									3018.80	3036.31													
									3024.85	3038.89													
									3025.24	3040.08													
									3027.86	3044.30													
									3033.18	3047.82													
									3033.40	3051.32													
									3036.47	3053.20													
									3044.58	3058.60													
									3047.92	3062.21													
									3050.79	3063.86													
									3053.07	3070.19													
									3053.87	3072.52													
									3055.59	3075.58													
									3058.63	3077.23													
									3062.66	3077.94													
									3064.02	3080.10													
									3064.41	3083.53													
									3066.13	3086.26													
									3067.25	3091.28													
									3070.54	3094.64													
									3073.81	3098.30													
									3074.04	3099.32													
									3075.30	3102.40													
									3077.76	3104.33													
									3078.70	3108.90													
									3081.90	3114.14													
									3085.31	3116.65													
									3093.32	3117.50													
									3096.02	3125.61													
									3100.07	3127.66													
									3100.79	3127.83													
									3101.49	3128.80													
									3104.12	3131.66													
									3116.87	3133.54													
									3118.33	3134.94													
									3124.31	3135.86													
									3128.68	3136.40													
									3129.33	3137.18													
									3131.26	3138.72													
									3131.70	3140.47													
									3133.20	3141.98													
									3134.26	3142.36													
									3135.13	3143.31													
									3135.68	3145.70													
