mol_iso_xtb	mol_def_xtb	mol_iso_cry	5A_complex	5A_ref	7_5A_complex	7_5A_ref	10A_complex	10A_ref	all_complex	all_ref	cry_des_all_complex	cry_des_all_ref	cry_des_all_opt_ref	cry_des_frag_complex	cry_des_frag_ref	cry_des_frag_opt_ref	cry_ads_all_complex	cry_ads_all_ref	cry_ads_frag_complex	cry_ads_frag_ref	cry_ads_mol_full_complex	cry_ads_mol_frag_complex	cry_ads_mol_only_complex
					3227.16	3319.25	" 488.76"	" 500.13"	"  98.47"	"  98.74"	3364.2163	3436.99	3449.0392				3276.305	3364.2163					
					3245.50	3331.83	" 490.75"	" 507.59"	"  98.89"	"  99.39"	3370.2144	3455.611	3460.9189				3300.404	3370.2144					
					3259.34	3350.86	" 494.33"	" 510.33"	" 100.06"	"  99.79"	3379.7245	3525.415	3494.0915				3305.151	3379.7245					
					3262.70	3355.64	" 498.13"	" 513.01"	" 100.27"	" 100.20"	3383.0712	3584.345	3587.4499				3317.391	3383.0712					
					3278.12	3361.50	" 499.16"	" 520.43"	" 100.59"	" 100.55"	3392.7146	3588.721	3590.9119				3330.48	3392.7146					
					3282.94	3365.17	" 503.23"	" 523.92"	" 101.16"	" 100.90"	3392.9419	3594.314	3592.1509				3348.571	3392.9419					
					3294.52	3375.90	" 508.08"	" 524.78"	" 101.48"	" 101.47"	3396.77	3753.258	3670.4276				3352.58	3396.77					
					3297.53	3383.17	" 511.89"	" 527.99"	" 101.56"	" 102.33"	3398.6146	3779.697	3780.5767				3358.962	3398.6146					
					3332.02	3406.78	" 517.48"	" 530.28"	" 102.36"	" 102.60"	3407.6971	3801.814	3800.0429				3361.763	3407.6971					
					3343.11	3409.76	" 521.56"	" 531.95"	" 102.71"	" 103.09"	3413.1911	3802.12	3800.6156				3364.558	3413.1911					
					3348.70	3412.67	" 524.58"	" 536.00"	" 103.02"	" 103.29"	3417.1539	3803.641	3802.2439				3374.55	3417.1539					
					3349.91	3416.49	" 526.02"	" 538.26"	" 103.65"	" 104.11"	3421.702						3376.756	3421.702					
					3353.93	3425.94	" 529.59"	" 540.96"	" 104.15"	" 104.70"	3566.1317						3380.103	3566.1317					
					3371.50	3427.39	" 531.27"	" 542.84"	" 104.83"	" 105.12"	3566.3392						3383.757	3566.3392					
					3381.49	3435.58	" 535.82"	" 544.92"	" 105.65"	" 105.43"	3570.1026						3392.73	3570.1026					
					3382.72	3463.43	" 538.00"	" 547.52"	" 105.94"	" 105.78"	3570.3506						3394.356	3570.3506					
					3397.80	3488.52	" 539.10"	" 551.11"	" 106.15"	" 106.35"	3789.0645						3405.755	3789.0645					
					3403.88	3491.99	" 544.16"	" 553.28"	" 106.50"	" 106.76"	3811.8607						3408.956	3811.8607					
					3404.29	3498.21	" 545.42"	" 557.22"	" 107.63"	" 107.42"	3813.3818						3418.367	3813.3818					
					3411.44	3524.02	" 548.50"	" 558.57"	" 108.00"	" 108.40"	3818.8479						3434.019	3818.8479					
					3420.79	3567.95	" 549.92"	" 559.71"	" 108.52"	" 108.84"							3456.145						
					3431.59	3585.23	" 550.73"	" 563.80"	" 109.16"	" 109.39"							3515.09						
					3438.02	3649.74	" 550.82"	" 565.98"	" 110.16"	" 109.65"							3565.255						
					3441.38	3659.91	" 554.61"	" 568.87"	" 110.48"	" 110.89"							3583.908						
					3459.04	3675.50	" 557.31"	" 571.10"	" 110.63"	" 111.32"							3587.947						
					3477.43	3684.74	" 562.70"	" 571.22"	" 111.40"	" 112.34"							3800.978						
					3479.06		" 565.28"	" 574.48"	" 111.93"	" 112.96"							3802.37						
					3484.18		" 567.06"	" 578.00"	" 112.00"	" 114.15"							3802.548						
					3519.29		" 569.98"	" 581.19"	" 113.74"	" 114.75"							3817.293						
					3542.81		" 571.25"	" 583.30"	" 114.28"	" 114.96"													
					3581.49		" 574.45"	" 583.91"	" 114.78"	" 115.09"													
					3594.85		" 575.57"	" 585.24"	" 115.01"	" 116.32"													
					3658.60		" 578.84"	" 586.77"	" 115.93"	" 116.75"													
					3686.10		" 580.69"	" 590.22"	" 116.44"	" 117.66"													
					3686.87		" 582.54"	" 592.75"	" 116.54"	" 117.93"													
							" 586.87"	" 595.65"	" 117.95"	" 118.76"													
							" 588.72"	" 597.25"	" 118.26"	" 119.21"													
							" 591.04"	" 599.01"	" 119.04"	" 120.12"													
							" 592.47"	" 603.68"	" 119.47"	" 120.56"													
							" 597.71"	" 605.58"	" 119.74"	" 120.88"													
							" 599.20"	" 608.61"	" 120.59"	" 121.63"													
							" 601.80"	" 609.24"	" 121.03"	" 122.25"													
							" 603.01"	" 615.13"	" 121.61"	" 123.13"													
							" 605.05"	" 616.15"	" 121.88"	" 123.35"													
							" 608.79"	" 620.57"	" 122.60"	" 123.65"													
							" 610.92"	" 622.18"	" 123.02"	" 124.93"													
							" 615.91"	" 624.12"	" 123.62"	" 125.05"													
							" 617.83"	" 625.89"	" 124.84"	" 125.82"													
							" 621.36"	" 626.24"	" 125.49"	" 126.14"													
							" 622.55"	" 628.67"	" 126.33"	" 126.21"													
							" 623.56"	" 630.13"	" 127.50"	" 126.75"													
							" 626.10"	" 633.51"	" 127.89"	" 128.04"													
							" 627.89"	" 635.60"	" 128.21"	" 128.69"													
							" 629.30"	" 638.42"	" 128.90"	" 129.72"													
							" 630.97"	" 644.11"	" 129.53"	" 129.98"													
							" 633.10"	" 646.35"	" 129.74"	" 130.69"													
							" 634.80"	" 650.36"	" 130.76"	" 130.73"													
							" 636.62"	" 651.62"	" 131.48"	" 132.34"													
							" 639.09"	" 657.35"	" 131.87"	" 132.50"													
							" 646.22"	" 662.75"	" 132.09"	" 133.56"													
							" 650.03"	" 663.30"	" 133.45"	" 133.86"													
							" 651.47"	" 666.72"	" 134.35"	" 134.25"													
							" 657.11"	" 669.13"	" 134.64"	" 135.47"													
							" 661.59"	" 669.88"	" 135.78"	" 136.11"													
							" 662.04"	" 672.41"	" 136.45"	" 136.67"													
							" 666.71"	" 675.22"	" 137.13"	" 137.62"													
							" 669.62"	" 679.29"	" 137.55"	" 138.95"													
							" 670.19"	" 679.39"	" 138.70"	" 139.57"													
							" 672.69"	" 682.87"	" 138.93"	" 140.15"													
							" 674.78"	" 686.24"	" 139.47"	" 140.62"													
							" 676.92"	" 687.82"	" 140.46"	" 141.27"													
							" 678.63"	" 688.18"	" 141.30"	" 142.41"													
							" 681.61"	" 690.53"	" 141.71"	" 143.20"													
							" 684.29"	" 697.04"	" 143.63"	" 143.71"													
							" 687.05"	" 698.63"	" 143.82"	" 144.61"													
							" 689.53"	" 704.64"	" 144.92"	" 145.13"													
							" 690.64"	" 709.86"	" 145.05"	" 145.77"													
							" 693.26"	" 714.04"	" 146.25"	" 147.11"													
							" 696.42"	" 715.70"	" 146.48"	" 147.87"													
							" 700.39"	" 718.08"	" 147.47"	" 148.88"													
							" 703.25"	" 720.36"	" 148.90"	" 149.37"													
							" 710.07"	" 723.53"	" 149.21"	" 150.04"													
							" 712.00"	" 728.12"	" 149.97"	" 150.49"													
							" 715.43"	" 731.63"	" 150.20"	" 151.12"													
							" 717.94"	" 736.58"	" 151.07"	" 151.62"													
							" 719.42"	" 738.75"	" 151.95"	" 152.42"													
							" 721.51"	" 740.73"	" 152.58"	" 152.63"													
							" 723.35"	" 744.81"	" 152.74"	" 153.73"													
							" 725.59"	" 748.31"	" 153.68"	" 154.10"													
							" 731.09"	" 750.37"	" 153.97"	" 154.79"													
							" 734.62"	" 751.22"	" 154.66"	" 155.02"													
							" 736.00"	" 758.43"	" 155.43"	" 156.70"													
							" 741.22"	" 759.37"	" 156.52"	" 156.92"													
							" 743.05"	" 762.34"	" 156.65"	" 157.53"													
							" 747.28"	" 769.99"	" 157.26"	" 158.51"													
							" 750.69"	" 773.14"	" 157.90"	" 160.04"													
							" 753.56"	" 774.92"	" 159.94"	" 160.96"													
							" 763.19"	" 781.41"	" 160.49"	" 161.28"													
							" 766.18"	" 785.03"	" 161.85"	" 161.66"													
							" 768.02"	" 791.02"	" 162.53"	" 162.90"													
							" 772.81"	" 794.40"	" 163.33"	" 163.43"													
							" 782.65"	" 797.35"	" 164.17"	" 164.17"													
							" 785.41"	" 799.21"	" 164.71"	" 165.41"													
							" 790.09"	" 800.99"	" 165.45"	" 166.17"													
							" 791.38"	" 801.81"	" 166.17"	" 166.65"													
							" 793.18"	" 805.42"	" 167.07"	" 167.42"													
							" 796.16"	" 816.77"	" 167.58"	" 168.17"													
							" 799.04"	" 819.74"	" 167.95"	" 169.12"													
							" 801.21"	" 824.38"	" 168.21"	" 169.72"													
							" 804.98"	" 827.27"	" 168.83"	" 170.92"													
							" 808.79"	" 831.08"	" 169.67"	" 171.92"													
							" 812.82"	" 840.45"	" 171.32"	" 172.37"													
							" 819.42"	" 844.66"	" 172.02"	" 172.91"													
							" 821.43"	" 848.41"	" 172.07"	" 174.03"													
							" 822.83"	" 849.72"	" 172.66"	" 175.10"													
							" 824.75"	" 851.22"	" 173.63"	" 175.24"													
							" 833.23"	" 864.97"	" 175.01"	" 176.15"													
							" 842.99"	" 870.67"	" 175.28"	" 176.71"													
							" 844.24"	" 878.23"	" 175.92"	" 177.73"													
							" 847.37"	" 885.16"	" 177.77"	" 178.14"													
							" 850.54"	" 902.78"	" 178.54"	" 178.72"													
							" 857.08"	" 905.85"	" 179.10"	" 179.64"													
							" 860.76"	" 914.15"	" 179.75"	" 180.64"													
							" 877.72"	" 915.06"	" 180.33"	" 180.97"													
							" 881.37"	" 923.35"	" 180.77"	" 181.43"													
							" 885.17"	" 925.87"	" 181.22"	" 182.28"													
							" 891.98"	" 936.55"	" 181.98"	" 183.05"													
							" 894.08"	" 937.01"	" 182.65"	" 183.37"													
							" 903.89"	" 945.40"	" 183.62"	" 183.99"													
							" 907.81"	" 948.85"	" 184.63"	" 184.33"													
							" 918.30"	" 959.82"	" 184.84"	" 184.93"													
							" 925.03"	" 964.25"	" 185.15"	" 186.82"													
							" 930.48"	" 970.11"	" 185.78"	" 187.07"													
							" 931.63"	" 982.12"	" 186.51"	" 187.38"													
							" 937.97"	" 991.60"	" 187.38"	" 188.44"													
							" 950.83"	" 999.19"	" 188.18"	" 188.92"													
							" 954.42"	1038.20	" 189.08"	" 189.67"													
							" 957.85"	1432.45	" 189.81"	" 190.31"													
							" 968.93"	1457.85	" 190.38"	" 190.93"													
							" 973.50"	1463.11	" 191.01"	" 191.26"													
							" 991.55"	1468.81	" 191.90"	" 191.48"													
							1003.18	1472.88	" 192.41"	" 192.72"													
							1016.57	1474.07	" 193.00"	" 193.41"													
							1432.30	1479.09	" 193.62"	" 194.23"													
							1444.25	1482.43	" 193.94"	" 194.70"													
							1452.49	1485.25	" 194.45"	" 195.85"													
							1456.11	1491.17	" 196.00"	" 196.02"													
							1468.57	1492.81	" 196.49"	" 196.92"													
							1471.56	1493.75	" 197.06"	" 197.57"													
							1478.26	1495.46	" 197.78"	" 197.94"													
							1479.69	1497.20	" 198.24"	" 198.29"													
							1480.83	1499.43	" 199.00"	" 198.94"													
							1483.47	1501.84	" 199.21"	" 199.95"													
							1485.31	1502.78	" 200.39"	" 200.60"													
							1490.29	1504.41	" 200.49"	" 201.47"													
							1493.16	1507.44	" 201.38"	" 201.78"													
							1495.62	1509.26	" 202.10"	" 202.34"													
							1499.13	1510.94	" 202.40"	" 203.19"													
							1500.25	1512.19	" 203.38"	" 204.08"													
							1501.14	1515.01	" 203.96"	" 204.77"													
							1502.41	1515.52	" 204.26"	" 205.43"													
							1503.67	1515.92	" 204.45"	" 206.03"													
							1505.72	1517.75	" 204.84"	" 206.80"													
							1508.74	1520.59	" 205.70"	" 207.03"													
							1510.71	1522.07	" 206.70"	" 207.94"													
							1513.59	1522.97	" 207.71"	" 208.21"													
							1514.05	1524.74	" 208.15"	" 209.47"													
