T	30_TPD_HH	30_rate_HH	30_TPD_full	30_pre_full	30_rate_full	30_TPD_Tait	30_pre_Tait	30_rate_Tait
1.0	0.0	0.0	0.0	163591762.7614527	0.0	0.0	163591762.76432124	0.0
2.0	0.0	0.0	0.0	1850821766.1970437	0.0	0.0	1850829516.7506	0.0
3.0	0.0	0.0	0.0	7648439843.945841	0.0	0.0	7650429609.804089	0.0
4.0	0.0	0.0	0.0	20896641671.19424	0.0	0.0	20939745633.83312	0.0
5.0	0.0	0.0	0.0	45397371072.12291	0.0	0.0	45725287762.50517	0.0
6.0	2.406040689510858e-285	9.624162758043432e-287	1.0171189158681723e-286	85118077146.00392	4.068475663472689e-288	1.0342862127358843e-286	86554730497.3252	4.137144850943537e-288
7.0	5.936448709164136e-243	2.3745794836656542e-244	4.2439661515749264e-244	143945546267.68082	1.6975864606299705e-245	4.3770171821106715e-244	148458330438.88312	1.7508068728442686e-245
8.0	3.7534299637684397e-211	1.5013719855073758e-212	4.2040850304513217e-212	225525791277.59412	1.6816340121805288e-213	4.416229786911724e-212	236906178144.0768	1.7664919147646896e-213
9.0	2.060017800929625e-186	8.2400712037185e-188	3.408832556959148e-187	333186760867.31665	1.3635330227836593e-188	3.6603966378788926e-187	357775185165.5705	1.464158655151557e-188
10.0	1.2870516001172556e-166	5.148206400469022e-168	3.003795451681143e-167	469923795652.14124	1.2015181806724572e-168	3.306772752417814e-167	517322576777.17847	1.3227091009671256e-168
11.0	2.0380630518598533e-150	8.152252207439414e-152	6.462102044560212e-151	638424046673.9781	2.5848408178240846e-152	7.309714340564692e-151	722163992019.0582	2.923885736225877e-152
12.0	6.474087851135732e-137	2.589635140454293e-138	2.7044445406604304e-137	841109488304.8491	1.0817778162641722e-138	3.148627911814336e-137	979254990054.9233	1.2594511647257344e-138
13.0	1.7279976681041818e-125	6.9119906724167274e-127	9.270175114786768e-126	1080184215163.6431	3.708070045914707e-127	1.1121241629267077e-125	1295875160091.9907	4.448496651706831e-127
14.0	1.0782464905115617e-115	4.3129859620462465e-117	7.270455991264364e-116	1357677551622.8093	2.9081823965057456e-117	8.994449125910207e-116	1679614274831.4805	3.597779650364083e-117
15.0	3.3317630053863817e-107	1.3327052021545526e-108	2.772426500530432e-107	1675478967210.0378	1.1089706002121728e-108	3.5383590471834886e-107	2138360083074.8914	1.4153436188733954e-108
16.0	8.95268912038216e-100	3.581075648152864e-101	9.049873252930404e-100	2035363740289.0798	3.6199493011721616e-101	1.1917408738060924e-99	2680287441130.639	4.76696349522437e-101
17.0	3.2181969342932818e-93	1.2872787737173128e-94	3.898281166903271e-93	2439010014781.06	1.5593124667613083e-94	5.29653971570646e-93	3313848554581.243	2.118615886282584e-94
