T	q_vib_ratio_all	q_vib_ratio_all_frg	q_vib_6N_frg_mol_only	q_vib_6N_frg	q_vib_6N_all	q_vib_frg_mol_only	q_vib_frg_frg	q_vib_frg_all
0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5.1	0.9985859963502473	0.9999310461107463	0.9999992943495238	0.9999285171467325	0.9984836743867315	0.9999992943495238	0.9999285171467325	0.9984836743867315
10.1	0.9669062349036459	0.9931426496095397	0.999216852800545	0.9914838208326987	0.9622914560923229	0.999216852800545	0.9914838208326987	0.9622914560923229
15.1	0.9033579226961787	0.9689721429793179	0.9916352975395649	0.9543573612449583	0.8883605884398612	0.9916352975395649	0.9543573612449583	0.8883605884398612
20.1	0.8326890915614918	0.9335437047659948	0.9724654330258776	0.89035773263515	0.8073863851822268	0.9724654330258776	0.89035773263515	0.8073863851822268
25.1	0.7655006633403134	0.8939135909276045	0.9434233394471603	0.8118238050456225	0.7325485277108622	0.9434233394471603	0.8118238050456225	0.7325485277108622
30.1	0.7047545760680369	0.8536521865220118	0.9079968868877653	0.7290859886921961	0.6668626154623799	0.9079968868877653	0.7290859886921961	0.6668626154623799
35.1	0.6506413543497158	0.8141004300774137	0.8689141406166805	0.6484959366757265	0.6099058093709792	0.8689141406166805	0.6484959366757265	0.6099058093709792
40.1	0.602458369346768	0.7755733199453856	0.8279156813800841	0.5733273260745312	0.5603593690106476	0.8279156813800841	0.5733273260745312	0.5603593690106476
45.1	0.5593202566187218	0.7380336652918166	0.7860867926877136	0.5049478971728127	0.5168677018374815	0.7860867926877131	0.5049478971728124	0.5168677018374812
50.1	0.5204109977396787	0.7013903098467916	0.7441489228480532	0.443671982642224	0.4782876975957562	0.74414892284804	0.44367198264221613	0.4782876975957477
55.1	0.4850537970285195	0.6655987751349539	0.7026257474577997	0.38927585971829787	0.4437220721965301	0.7026257474575796	0.3892758597181759	0.4437220721963911
60.1	0.45271190885826373	0.6306755877487852	0.6619215050980921	0.3412829024009995	0.412484782170595	0.661921505095817	0.3412829023998265	0.4124847821691773
65.1	0.42296703650730716	0.5966823568452482	0.6223541249885068	0.2991147509052094	0.3840534877642782	0.6223541249722625	0.299114750897402	0.3840534877542538
70.1	0.395493815597465	0.5637041329578291	0.5841694211633056	0.26216997390987623	0.35802732575680035	0.5841694210765932	0.26216997387096047	0.35802732570365586
75.1	0.3700370193138471	0.5318311269968408	0.5475492007002564	0.22986449577390358	0.33409414686452615	0.5475492003335428	0.229864495619955	0.3340941466407712
80.1	0.3463932444469981	0.5011460440702336	0.512618388300365	0.20165175678129751	0.31200651844795724	0.5126183870169418	0.2016517562764297	0.3120065176667984
85.1	0.3243969696549723	0.47171662391345137	0.47945256482093457	0.17703186733910645	0.2915645697744057	0.4794525609776275	0.17703186592001335	0.29156456743721476
90.1	0.30391027710645174	0.44359217874272966	0.44808585418872504	0.1555546091563685	0.2726038115723132	0.44808584408173824	0.15555460564769186	0.2726038054234846
95.1	0.28481543599590436	0.4168028789861273	0.4185186961115228	0.13681893463364506	0.2549864596509033	0.41851867228593603	0.13681892684476626	0.25498644513494
100.1	0.26700963567105473	0.3913607577091481	0.3907250736246794	0.12047049228182831	0.2385952002004301	0.3907250224425405	0.12047047650107122	0.2385951689461966
105.1	0.2504012927457218	0.36726167342266436	0.36465892077554607	0.10619810254423108	0.22332865832693724	0.36465881923519383	0.10619807297305614	0.2233285961404135
110.1	0.23490748901651917	0.3444877086514127	0.34025959127190286	0.09372976086624622	0.20909806429724295	0.34025940318942866	0.09372970905602315	0.20909794871583898
115.1	0.2204522087084629	0.3230096665495882	0.31745638396874815	0.08282853051207864	0.1958247718423053	0.31745605574506996	0.08282844487421998	0.19582456937566692
120.1	0.20696513200327954	0.3027894616677378	0.29617219219083823	0.07328854855630115	0.18343839039191712	0.29617164847154737	0.07328841401160487	0.18343805363176824
125.1	0.19438080943208536	0.28378229302559166	0.2763263800610847	0.06493127581956809	0.1718753650987456	0.2763255196367808	0.06493107363674436	0.17187482991371794
130.1	0.18263809233326564	0.2659385482887959	0.25783700127507436	0.05760205950340469	0.16107788698300368	0.2578356935638435	0.05760176735425712	0.1610770700197253
135.1	0.17167973188335608	0.24920542605994864	0.24062247346897636	0.05116703632008339	0.1509930485884282	0.24062055587566944	0.051166628554487066	0.15099184527913131
140.1	0.16145208635225622	0.23352828607191498	0.22460281123505996	0.045510377636530173	0.14157218346930933	0.22460008760571376	0.04550982575830832	0.14157046670471773
145.1	0.1519048957424673	0.21885174955526654	0.20970050738577548	0.04053186208374841	0.13277034402621826	0.20969674768375696	0.04053113539154537	0.13276796359835635
150.1	0.14299109681381408	0.20512057787880966	0.19584113793411873	0.03614475201630926	0.12454588385717724	0.19583607917053672	0.03614381836285367	0.12454266671808079
155.1	0.13466666117618903	0.19228035923494702	0.18295375291641555	0.032273945833455164	0.11686011930264582	0.18294710128160807	0.03227277245221505	0.1168558706287336
160.1	0.1268904457908206	0.18027803234271114	0.1709711033316071	0.028854376852533795	0.10967705116310031	0.1709625374041898	0.02885293120181871	0.10967155616633595
165.1	0.11962404970652782	0.16906227397750143	0.1598297443424701	0.025829630006688427	0.10296313227744766	0.15981891920119623	0.025827880586422353	0.10295615866651256
170.1	0.11283167380223094	0.15858377431877227	0.1494700464542562	0.023150749331985604	0.09668707019435155	0.14945659848651788	0.023148666436197982	0.09667837116313067
175.1	0.10647998217380834	0.1487954210781782	0.1398361395013144	0.02077521148434782	0.09081965684567207	0.1398196916890702	0.020772767861554412	0.09080897445219921
180.1	0.10053796492902434	0.13965241039566337	0.13087580872675025	0.018666043037989584	0.08533361915663294	0.13085597619319117	0.01866321444095116	0.08532068795198859
185.1	0.09497680278077913	0.13111229971776697	0.12254035782018532	0.016791061847114742	0.08020348605895412	0.1225167534350587	0.01678782746215313	0.08018803683057656
