mol_iso_cry	NH3_cry_complex	NH3_cry_ref	NH3_cry_frg_complex	NH3_cry_frg_ref	cry_mol_full_complex	cry_mol_frag_complex	cry_mol_only_complex
	3061.705	3129.1106					
	3063.296	3132.629					
	3092.481	3143.6733					
	3097.288	3204.7154					
	3105.759	3207.1688					
	3111.722	3219.1955					
	3114.548	3223.1137					
	3129.092	3224.0786					
	3132.034	3256.9936					
	3136.482	3267.6055					
	3147.985	3276.7737					
	3161.812	3326.1475					
	3187.529	3344.8747					
	3208.318	3353.4468					
	3211.68	3353.6229					
	3219.329	3354.8572					
	3227.95	3364.2163					
	3246.741	3370.2144					
	3259.9	3379.7245					
	3268.42	3383.0712					
	3289.017	3392.7146					
	3317.467	3392.9419					
	3330.423	3396.77					
	3338.195	3398.6146					
	3349.256	3407.6971					
	3352.247	3413.1911					
	3355.918	3417.1539					
	3360.908	3421.702					
	3363.902	3566.1317					
	3374.7	3566.3392					
	3378.205	3570.1026					
	3379.35	3570.3506					
	3383.378	3789.0645					
	3392.949	3811.8607					
	3394.431	3813.3818					
	3402.407	3818.8479					
	3408.928						
	3418.249						
	3433.604						
	3459.397						
	3502.703						
	3559.325						
	3565.819						
	3583.589						
	3587.565						
	3800.616						
	3802.153						
	3806.64						
