T	375_TPD_HH	375_rate_HH	375_TPD_full	375_pre_full	375_rate_full	375_TPD_Tait	375_pre_Tait	375_rate_Tait
1.0	0.0	0.0	0.0	13437439399.914867	0.0	0.0	13437439399.91487	0.0
2.0	0.0	0.0	0.0	152027272343.40955	0.0	0.0	152027272343.40955	0.0
3.0	0.0	0.0	0.0	628406849635.5707	0.0	0.0	628406849635.5707	0.0
4.0	0.0	0.0	0.0	1719992243189.0137	0.0	0.0	1719992243189.1033	0.0
5.0	0.0	0.0	0.0	3755878492629.1953	0.0	0.0	3755878492717.955	0.0
6.0	0.0	0.0	0.0	7109611905534.104	0.0	0.0	7109611915542.198	0.0
7.0	0.0	0.0	0.0	12194377837793.113	0.0	0.0	12194378158018.787	0.0
8.0	0.0	0.0	0.0	19459486239651.816	0.0	0.0	19459490859956.42	0.0
9.0	2.2128671431261313e-308	8.85146857250453e-310	3.484661720879652e-307	29387641013323.84	1.393864688351861e-308	3.484666339913998e-307	29387679967613.832	1.393866535965599e-308
10.0	2.0037783383612333e-276	8.015113353444934e-278	4.56251662922051e-275	42492689978550.44	1.825006651688204e-276	4.562540728355855e-275	42492914424217.195	1.825016291342342e-276
11.0	2.818866015889639e-250	1.1275464063558556e-251	8.959809077798806e-249	59317626276448.26	3.5839236311195225e-250	8.959956656172738e-249	59318603306065.23	3.5839826624690956e-250
12.0	1.7391266784301382e-228	6.956506713720553e-230	7.495560209721939e-227	80432639635173.53	2.998224083888776e-228	7.495880516582181e-227	80436076753353.05	2.9983522066328724e-228
13.0	4.768236534576051e-210	1.9072946138304204e-211	2.7194107668781434e-208	106433039166604.94	1.0877643067512574e-209	2.7196724440196383e-208	106443280757830.84	1.0878689776078553e-209
14.0	3.037793922662088e-194	1.2151175690648352e-195	2.245325658072487e-192	137936903387477.16	8.981302632289948e-194	2.245760871315023e-192	137963639806211.25	8.983043485260092e-194
15.0	1.5127999639539466e-180	6.051199855815787e-182	1.4233212684322988e-178	175582357258175.97	5.693285073729195e-180	1.4238295076475088e-178	175645054163953.22	5.695318030590036e-180
16.0	1.4627852703810689e-168	5.851141081524276e-170	1.7246144823399993e-166	220024423632519.5	6.898457929359997e-168	1.7256693863452526e-166	220159007128205.22	6.902677545381011e-168
17.0	5.507379108630316e-158	2.2029516434521262e-159	8.024998418898002e-156	271931441257706.72	3.209999367559201e-157	8.032916905434966e-156	272199763485846.44	3.2131667621739867e-157
18.0	1.3871419405054012e-148	5.548567762021605e-150	2.46760018260626e-146	331981079350695.9	9.87040073042504e-148	2.4713357272357443e-146	332483644615036.7	9.885342908942978e-148
19.0	3.5832549811110176e-140	1.433301992444407e-141	7.696737387875876e-138	400856008087234.8	3.0786949551503507e-139	7.713871384626803e-138	401748368732275.8	3.0855485538507214e-139
20.0	1.3362086594688011e-132	5.344834637875205e-134	3.43136778574872e-130	479239304903592.8	1.372547114299488e-131	3.4422019289935034e-130	480752447067898.25	1.3768807715974013e-131
21.0	9.486200457073373e-126	3.794480182829349e-127	2.886261357418514e-123	567809689017452.4	1.1545045429674056e-124	2.8987910124500494e-123	570274628482711.1	1.1595164049800197e-124
22.0	1.6079061713691177e-119	6.431624685476471e-121	5.748852612006114e-117	667236682107852.2	2.299541044802446e-118	5.78225395523412e-117	671113386371735.4	2.312901582093648e-118
23.0	7.845208414011937e-114	3.138083365604775e-115	3.2713179788707096e-111	778175792870692.0	1.3085271915482839e-112	3.2961653403190923e-111	784086442743534.6	1.318466136127637e-112
24.0	1.2876759808913027e-108	5.150703923565211e-110	6.218692601016777e-106	901263818396348.4	2.487477040406711e-107	6.279181228006956e-106	910030325189401.4	2.5116724912027826e-107
25.0	8.104295836575802e-104	3.241718334630321e-105	4.5038351538472144e-101	1037114347135204.8	1.8015340615388858e-102	4.558924429521164e-101	1049799953118349.0	1.8235697718084656e-102
26.0	2.1848769222831084e-99	8.739507689132434e-101	1.3888873490487204e-96	1186313537652445.5	5.555549396194882e-98	1.4099079918042243e-96	1204268250169691.8	5.639631967216897e-98
27.0	2.7727230383889728e-95	1.109089215355589e-96	2.0049012202782415e-92	1349416235328325.8	8.019604881112966e-94	2.0419106881563273e-92	1374325780152993.2	8.16764275262531e-94
28.0	1.7958096554347404e-91	7.183238621738962e-93	1.4693441794709521e-88	1526942476405595.2	5.877376717883809e-90	1.5020019236082407e-88	1560880404226404.8	6.0080076944329625e-90
29.0	6.364239720754386e-88	2.5456958883017545e-89	5.86350835335005e-85	1719374415960724.5	2.34540334134002e-86	6.018615500893568e-85	1764856957324650.5	2.407446200357427e-86
30.0	1.3109407367058244e-84	5.243762946823298e-86	1.353754681150103e-81	1927153703990319.5	5.415018724600411e-83	1.3959328501737843e-81	1987196942099355.5	5.583731400695138e-83
31.0	1.654243207183246e-81	6.616972828732984e-83	1.9064067971028435e-78	2150679322246279.8	7.625627188411374e-80	1.975706211690063e-78	2228858238846347.5	7.902824846760252e-80
32.0	1.3389555620263e-78	5.3558222481052e-80	1.714984512449974e-75	2390305883999404.0	6.859938049799896e-77	1.7870971600551074e-75	2490814830074422.0	7.14838864022043e-77
33.0	7.238171842133833e-76	2.8952687368535333e-77	1.026397253399903e-72	2646342389737707.5	4.105589013599612e-74	1.0759318306497482e-72	2774056538523459.0	4.303727322598993e-74
34.0	2.7080995179324355e-73	1.0832398071729742e-74	4.2359119491819976e-70	2919051424004444.5	1.694364779672799e-71	4.4688719061983464e-70	3079588777571463.0	1.7875487624793387e-71
35.0	7.237322068093854e-71	2.8949288272375415e-72	1.2443445167187382e-67	3208648772171913.5	4.977378066874953e-69	1.3218224743625148e-67	3408432313083584.0	5.28728989745006e-69
36.0	1.4208467717231836e-68	5.683387086892734e-70	2.6763975342617875e-65	3515303430895080.0	1.0705590137047151e-66	2.8639344557007593e-65	3761623035854570.5	1.1455737822803037e-66
37.0	2.101027212843351e-66	8.404108851373404e-68	4.3222109280167893e-63	3839137982215949.0	1.7288843712067158e-64	4.6611683473225264e-63	4140211743881635.0	1.8644673389290106e-64
38.0	2.3930107096595245e-64	9.572042838638098e-66	5.360253206712162e-61	4180229298687659.5	2.144101282684865e-62	5.8283323319235284e-61	4545263933779612.0	2.3313329327694113e-62
39.0	2.141909695311416e-62	8.567638781245663e-64	5.209122097460128e-59	4538609545329294.0	2.0836488389840513e-60	5.713264863426671e-59	4977859600715806.0	2.2853059453706685e-60
40.0	1.5340618660601797e-60	6.1362474642407185e-62	4.039635875107425e-57	4914267443572894.0	1.61585435004297e-58	4.47105405844689e-57	5439093046299801.0	1.788421623378756e-58
41.0	8.93603436688048e-59	3.5744137467521923e-60	2.5412461384835502e-55	5307149762484352.0	1.0164984553934201e-56	2.8395230978525603e-55	5930072693914531.0	1.135809239141024e-56
42.0	4.296421893288115e-57	1.718568757315246e-58	1.3162186912942663e-53	5717163003294445.0	5.2648747651770656e-55	1.4853763821223321e-53	6451920911020224.0	5.941505528489329e-55
43.0	1.7279556880635513e-55	6.911822752254205e-57	5.689010738769833e-52	6144175244539591.0	2.2756042955079334e-53	6.486781546996502e-52	7005773838003057.0	2.594712618798601e-53
44.0	5.884327484025761e-54	2.3537309936103044e-55	2.0772663109010367e-50	6588018116765530.0	8.309065243604147e-52	2.3940779095321866e-50	7592781223176349.0	9.576311638128747e-52
